Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška","BK Olomoucko|0,1,10,14,9",1,K. Elvis,9,O. Šiška,2,6,2,0,1,2.0,6.0
NH Ostrava,"S. Godwin, M. Svoboda, L. Palyza, K. Cole, L. Greer","NH Ostrava|14,20,23,24,3",3,L. Greer,20,M. Svoboda,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, S. Godwin, M. Svoboda, L. Palyza, L. Greer","NH Ostrava|11,14,20,23,3",3,L. Greer,20,M. Svoboda,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, Š. Puršl, R. Kouřil, M. Vyroubal, F. Zbránek","BK Opava|1,20,21,25,9",21,R. Kouřil,25,M. Vyroubal,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, Š. Puršl, R. Kouřil, M. Vyroubal, F. Zbránek","BK Opava|1,20,21,25,9",9,F. Zbránek,1,W. Person Jr,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, S. Godwin, M. Svoboda, K. Cole, L. Greer","NH Ostrava|11,14,20,24,3",11,A. Číž,24,K. Cole,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, Š. Puršl, R. Kouřil, M. Vyroubal, F. Zbránek","BK Opava|1,20,21,25,9",25,M. Vyroubal,21,R. Kouřil,1,3,1,0,1,1.0,3.0
NH Ostrava,"A. Číž, M. Čank, M. Svoboda, L. Palyza, K. Cole","NH Ostrava|11,19,20,23,24",11,A. Číž,23,L. Palyza,1,3,1,0,1,1.0,3.0
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, J. Bryant, A. Lukeš","BK KVIS Pardubice|13,23,3,4,7",3,R. Bonham,13,R. Moffatt,1,3,1,0,1,1.0,3.0
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, A. Lukeš, J. Tůma","BK KVIS Pardubice|13,23,3,7,98",3,R. Bonham,13,R. Moffatt,1,3,1,0,1,1.0,3.0
SK Slavia Praha,"M. Ježek, N. Noumeros, R. Mrázek, M. Lufile, D. Böhm","SK Slavia Praha|12,13,22,24,7",7,D. Böhm,12,M. Ježek,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, C. Brown Jr, L. Jurečka, J. Šiřina, M. Vyroubal","BK Opava|1,13,23,24,25",25,M. Vyroubal,23,L. Jurečka,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, C. Brown Jr, R. Kouřil, L. Jurečka, J. Šiřina","BK Opava|1,13,21,23,24",21,R. Kouřil,24,J. Šiřina,1,3,1,0,1,1.0,3.0
SLUNETA  Ústí nad Labem,"N. Johnson, I. Davidson, J. Young, T. Vyoral, L. Pecka","SLUNETA  Ústí nad Labem|10,18,2,4,44",18,I. Davidson,10,N. Johnson,1,3,1,0,1,1.0,3.0
SLUNETA  Ústí nad Labem,"N. Johnson, I. Davidson, T. Vyoral, L. Pecka, F. Kábrt","SLUNETA  Ústí nad Labem|10,18,4,44,8",18,I. Davidson,4,T. Vyoral,1,3,1,0,1,1.0,3.0
USK Praha,"J. Montgomery, D. Vlk, O. Švec, F. Fuxa, M. Šafařík","USK Praha|0,13,16,21,5",5,M. Šafařík,13,D. Vlk,1,3,1,0,1,1.0,3.0
BK Opava,"W. Person Jr, K. Kavan, C. Brown Jr, J. Šiřina, M. Vyroubal","BK Opava|1,11,13,24,25",24,J. Šiřina,25,M. Vyroubal,1,3,1,0,1,1.0,3.0
Sršni Photomate Písek,"K. Týml, J. Karlovský, J. Šimonek, M. Svoboda, J. Svoboda","Sršni Photomate Písek|33,41,7,71,77",77,J. Svoboda,33,K. Týml,1,3,1,0,1,1.0,3.0
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Štěrba, J. Edwards, T. Pomikálek","BK ARMEX ENERGY Děčín|0,13,16,20,5",16,J. Štěrba,13,F. Kroutil,1,3,1,0,1,1.0,3.0
BK KVIS Pardubice,"L. Kovář, Z. Key, R. Bonham, J. Bryant, J. Tůma","BK KVIS Pardubice|21,23,3,4,98",4,J. Bryant,21,L. Kovář,1,3,1,0,1,1.0,3.0
PUMPA Basket Brno,"A. Kejval, T. Jansa, M. Rychtecký, M. Stráněl, R. Farský","PUMPA Basket Brno|13,19,4,7,8",8,R. Farský,19,T. Jansa,1,3,1,0,1,1.0,3.0
BK GAPA Hradec Králové,"A. Johnson, C. John, D. Škranc, K. Brewton, L. Nikkarinen","BK GAPA Hradec Králové|0,10,12,2,4",4,L. Nikkarinen,2,K. Brewton,1,3,1,0,1,1.0,3.0
BK ARMEX ENERGY Děčín,"J. Štěrba, D. Davis, J. Edwards, L. Feštr, T. Pomikálek","BK ARMEX ENERGY Děčín|16,2,20,44,5",44,L. Feštr,5,T. Pomikálek,1,3,1,0,1,1.0,3.0
