Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Sršni Photomate Písek,"K. Týml, J. Karlovský, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|33,41,71,77,8",71,M. Svoboda,8,P. Šlechta,1,3,1,0,1,1.0,3.0
BK GAPA Hradec Králové,"A. Petric, D. Škranc, J. Bubeníček, M. Roub, K. Chatman","BK GAPA Hradec Králové|11,12,16,24,5",12,D. Škranc,24,M. Roub,1,2,0,1,1,1.0,2.0
USK Praha,"D. Vlk, O. Švec, T. Tainamo, E. Edigin, M. Šafařík","USK Praha|13,16,25,41,5",16,O. Švec,5,M. Šafařík,1,2,0,1,1,1.0,2.0
SLUNETA  Ústí nad Labem,"A. Pecháček, J. Young, T. Vyoral, F. Kábrt, D. Žikla","SLUNETA  Ústí nad Labem|0,2,4,8,9",4,T. Vyoral,0,A. Pecháček,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, M. Šturanović, T. Slowiak","BK ARMEX ENERGY Děčín|13,16,20,47,7",47,M. Šturanović,20,J. Edwards,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, M. Šturanović, T. Slowiak","BK ARMEX ENERGY Děčín|13,16,20,47,7",13,F. Kroutil,47,M. Šturanović,1,2,0,1,1,1.0,2.0
SK Slavia Praha,"M. Ježek, R. Jones, R. Mrázek, D. Böhm, M. Dáňa","SK Slavia Praha|12,15,22,7,88",15,R. Jones,12,M. Ježek,1,2,0,1,1,1.0,2.0
SK Slavia Praha,"R. Jones, R. Mrázek, D. Böhm, T. Bladen, M. Dáňa","SK Slavia Praha|15,22,7,8,88",15,R. Jones,7,D. Böhm,1,2,0,1,1,1.0,2.0
SK Slavia Praha,"R. Jones, R. Mrázek, D. Böhm, T. Bladen, M. Dáňa","SK Slavia Praha|15,22,7,8,88",88,M. Dáňa,8,T. Bladen,1,2,0,1,1,1.0,2.0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, L. Feštr, M. Šturanović","BK ARMEX ENERGY Děčín|13,16,20,44,47",44,L. Feštr,16,J. Štěrba,1,2,0,1,1,1.0,2.0
NH Ostrava,"M. Čank, M. Svoboda, L. Palyza, L. Greer, D. Heinzl","NH Ostrava|19,20,23,3,7",23,L. Palyza,20,M. Svoboda,1,2,0,1,1,1.0,2.0
NH Ostrava,"M. Snopek, A. Číž, M. Čank, M. Svoboda, J. Roche","NH Ostrava|10,11,19,20,35",19,M. Čank,10,M. Snopek,1,2,0,1,1,1.0,2.0
USK Praha,"J. Montgomery, S. Macht, F. Fuxa, E. Edigin, M. Šafařík","USK Praha|0,11,21,41,5",41,E. Edigin,21,F. Fuxa,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"A. Petric, D. Škranc, T. Mikyska, T. Merta, K. Chatman","BK GAPA Hradec Králové|11,12,13,23,5",12,D. Škranc,13,T. Mikyska,1,2,0,1,1,1.0,2.0
USK Praha,"J. Montgomery, D. Vlk, O. Švec, T. Tainamo, M. Šafařík","USK Praha|0,13,16,25,5",0,J. Montgomery,25,T. Tainamo,1,2,0,1,1,1.0,2.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, J. Svojanovský","BK Olomoucko|0,1,10,14,51",1,K. Elvis,14,K. Filewich,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, R. Kouřil, M. Vyroubal","BK Opava|1,13,20,21,25",21,R. Kouřil,25,M. Vyroubal,1,2,0,1,1,1.0,2.0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška","BK Olomoucko|0,1,10,14,9",10,J. Andre,0,M. Nelson,1,2,0,1,1,1.0,2.0
BK Opava,"W. Person Jr, C. Brown Jr, R. Kouřil, J. Slavík, J. Švandrlík","BK Opava|1,13,21,33,8",33,J. Slavík,13,C. Brown Jr,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"M. Svoboda, O. Sehnal, M. Santos - Silva, F. Rylich, V. Hruban","ERA Basketball Nymburk|11,19,7,73,77",19,O. Sehnal,11,M. Svoboda,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"S. Rice, M. Svoboda, O. Sehnal, M. Santos - Silva, V. Hruban","ERA Basketball Nymburk|10,11,19,7,77",11,M. Svoboda,19,O. Sehnal,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"S. Rice, M. Svoboda, O. Sehnal, M. Santos - Silva, V. Hruban","ERA Basketball Nymburk|10,11,19,7,77",77,V. Hruban,7,M. Santos - Silva,1,2,0,1,1,1.0,2.0
ERA Basketball Nymburk,"S. Rice, M. Svoboda, W. Dreamer, O. Sehnal, V. Hruban","ERA Basketball Nymburk|10,11,12,19,77",19,O. Sehnal,10,S. Rice,1,2,0,1,1,1.0,2.0
BK KVIS Pardubice,"R. Moffatt, L. Kovář, Z. Key, J. Bryant, J. Tůma","BK KVIS Pardubice|13,21,23,4,98",98,J. Tůma,21,L. Kovář,1,2,0,1,1,1.0,2.0
NH Ostrava,"A. Číž, M. Čank, M. Svoboda, L. Palyza, K. Cole","NH Ostrava|11,19,20,23,24",20,M. Svoboda,19,M. Čank,1,2,0,1,1,1.0,2.0
USK Praha,"J. Montgomery, S. Macht, O. Švec, T. Tainamo, E. Edigin","USK Praha|0,11,16,25,41",11,S. Macht,25,T. Tainamo,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"D. Škranc, K. Brewton, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|12,2,24,44,5",2,K. Brewton,24,M. Roub,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"D. Škranc, K. Brewton, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|12,2,24,44,5",44,T. Dvořák,2,K. Brewton,1,2,0,1,1,1.0,2.0
BK GAPA Hradec Králové,"D. Škranc, K. Brewton, M. Roub, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|12,2,24,44,5",44,T. Dvořák,24,M. Roub,1,2,0,1,1,1.0,2.0
