Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
PUMPA Basket Brno,"Š. Svoboda, A. Kejval, J. Groves, R. Williams, R. Farský","PUMPA Basket Brno|11,13,20,33,8",1,1.4,82.0,5,1,2,50.0,1,1,100.0,2,2,100.0,0,0,0,1,0,0,1,0,2,3.7,134.2,75.5,58.8,3.66,3
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, D. Davis, J. Edwards, M. Šturanović","BK ARMEX ENERGY Děčín|13,16,2,20,47",1,1.4,86.0,3,1,1,100.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,2,1.0,312.5,52.1,260.4,2.09,1
BK ARMEX ENERGY Děčín,"F. Kroutil, D. Davis, J. Edwards, L. Bryan Jr, L. Feštr","BK ARMEX ENERGY Děčín|13,2,20,22,44",1,1.4,82.0,2,1,4,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,52.1,0.0,52.1,1.46,2
PUMPA Basket Brno,"V. Půlpán, J. Groves, R. Williams, M. Rychtecký, M. Stráněl","PUMPA Basket Brno|18,20,33,4,7",1,1.4,83.0,3,1,2,50.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,5,1.9,156.2,224.5,-68.2,2.17,-2
SK Slavia Praha,"N. Noumeros, J. Matušík, M. Lufile, D. Böhm, M. Dáňa","SK Slavia Praha|13,16,24,7,88",1,1.4,85.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1.9,0.0,0.0,0.0,0.0,0
NH Ostrava,"S. Godwin, M. Svoboda, L. Palyza, K. Cole, L. Greer","NH Ostrava|14,20,23,24,3",1,1.4,81.0,7,3,5,60.0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,2,4.8,145.8,72.3,73.5,5.19,5
BK Opava,"W. Person Jr, K. Kavan, Š. Puršl, R. Kouřil, F. Zbránek","BK Opava|1,11,20,21,9",1,1.4,84.0,0,0,2,0.0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,5,1.9,0.0,173.6,-173.6,0.0,-5
BK Olomoucko,"J. Holmes, K. Filewich, D. Žák, A. Goga, O. Šiška","BK Olomoucko|13,14,22,4,9",1,1.4,87.0,2,1,2,50.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.9,69.4,0.0,69.4,1.38,2
NH Ostrava,"A. Číž, M. Čank, L. Palyza, K. Cole, D. Heinzl","NH Ostrava|11,19,23,24,7",1,1.4,86.0,2,1,3,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.9,69.4,312.5,-243.1,1.4,-1
PUMPA Basket Brno,"A. Kejval, T. Jansa, M. Rychtecký, M. Stráněl, R. Farský","PUMPA Basket Brno|13,19,4,7,8",1,1.4,84.0,6,2,2,100.0,2,2,100.0,0,0,0,0,0,0,1,0,0,0,0,0,1.9,312.5,0.0,312.5,4.29,6
SK Slavia Praha,Player#,SK Slavia Praha|,1,1.3,77.0,3,1,2,50.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,7,1.9,156.2,243.1,-86.8,2.34,-4
BK KVIS Pardubice,Player#,BK KVIS Pardubice|,1,1.3,77.0,7,3,3,100.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,3,2.9,243.1,156.2,86.8,5.45,4
BK GAPA Hradec Králové,"D. Škranc, K. Brewton, T. Merta, M. Roub, K. Chatman","BK GAPA Hradec Králové|12,2,23,24,5",2,1.3,77.0,0,0,1,0.0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,2,1.8,0.0,52.1,-52.1,0.0,-2
SLUNETA  Ústí nad Labem,"N. Johnson, J. Young, T. Vyoral, L. Pecka, D. Žikla","SLUNETA  Ústí nad Labem|10,2,4,44,9",2,1.3,77.0,2,1,3,33.3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2.9,69.4,69.4,0.0,1.56,0
SK Slavia Praha,"M. Ježek, N. Noumeros, R. Mrázek, T. Bladen, R. Pumprla","SK Slavia Praha|12,13,22,8,9",1,1.3,78.0,3,1,2,50.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,5,1.9,156.2,260.4,-104.2,2.31,-2
SLUNETA  Ústí nad Labem,"N. Johnson, J. Young, F. Kábrt, D. Žikla, J. Eatmon","SLUNETA  Ústí nad Labem|10,2,8,9,99",1,1.3,80.0,2,1,3,33.3,0,2,0.0,0,0,0,0,0,0,0,0,0,1,0,0,3.8,52.1,0.0,52.1,1.5,2
BK Opava,"K. Kavan, C. Brown Jr, Š. Puršl, J. Šiřina, J. Švandrlík","BK Opava|11,13,20,24,8",1,1.3,76.0,3,0,3,0.0,0,2,0.0,3,4,75.0,0,0,0,1,0,0,0,0,1,4.6,65.7,36.2,29.5,2.37,2
BK Olomoucko,"M. Nelson, K. Elvis, J. Holmes, K. Filewich, D. Žák","BK Olomoucko|0,1,13,14,22",1,1.3,77.0,2,1,3,33.3,0,1,0.0,0,0,0,0,0,0,0,0,0,1,0,0,3.8,52.1,0.0,52.1,1.56,2
