Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
BK Opava,"C. Brown Jr, Š. Puršl, R. Kouřil, L. Jurečka, J. Šiřina","BK Opava|13,20,21,23,24",1,0.2,10.0,5,1,2,50.0,1,2,50.0,2,2,100.0,0,0,0,1,0,0,0,0,0,2.8,180.8,0.0,180.8,30.0,5
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, J. Štěrba, D. Davis, O. Žižka","BK ARMEX ENERGY Děčín|0,13,16,2,9",1,0.2,15.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,8.0,2
BK Olomoucko,"J. Andre, J. Holmes, K. Filewich, A. Goga, O. Šiška","BK Olomoucko|10,13,14,4,9",1,0.2,10.0,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,3,0.8,236.7,312.5,-75.8,12.0,-1
BK ARMEX ENERGY Děčín,"F. Kroutil, D. Davis, J. Edwards, A. Rand, T. Pomikálek","BK ARMEX ENERGY Děčín|13,2,20,24,5",1,0.2,15.0,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,0.8,236.7,0.0,236.7,8.0,2
SK Slavia Praha,"N. Noumeros, P. Macháč, R. Jones, J. Matušík, R. Mrázek","SK Slavia Praha|13,14,15,16,22",1,0.2,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK Opava,"W. Person Jr, C. Brown Jr, R. Kouřil, J. Šiřina, J. Švandrlík","BK Opava|1,13,21,24,8",1,0.2,12.0,2,1,3,33.3,0,2,0.0,0,0,0,0,0,0,1,0,0,0,0,4,2.9,69.4,236.7,-167.3,10.0,-2
SK Slavia Praha,"M. Ježek, N. Noumeros, R. Jones, M. Lufile, D. Böhm","SK Slavia Praha|12,13,15,24,7",1,0.2,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1.0,0.0,166.2,-166.2,0.0,-3
BK GAPA Hradec Králové,"A. Petric, D. Škranc, K. Brewton, T. Merta, K. Chatman","BK GAPA Hradec Králové|11,12,2,23,5",1,0.1,9.0,0,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0.8,0.0,0.0,0.0,0.0,0
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Edwards, M. Šturanović, T. Pomikálek, T. Slowiak","BK ARMEX ENERGY Děčín|13,20,47,5,7",1,0.1,8.0,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,208.3,0.0,208.3,15.0,2
USK Praha,"S. Macht, D. Vlk, O. Švec, T. Tainamo, E. Edigin","USK Praha|11,13,16,25,41",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK ARMEX ENERGY Děčín,"P. Macháč, J. Štěrba, J. Edwards, L. Feštr, T. Slowiak","BK ARMEX ENERGY Děčín|14,16,20,44,7",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, D. Žák, J. Svojanovský","BK Olomoucko|0,1,10,22,51",1,0.1,6.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,208.3,-208.3,0.0,-2
NH Ostrava,"M. Snopek, A. Číž, M. Čank, L. Palyza, L. Greer","NH Ostrava|10,11,19,23,3",1,0.1,6.0,0,0,1,0.0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,3,1.4,0.0,177.6,-177.6,0.0,-3
BK ARMEX ENERGY Děčín,"F. Kroutil, J. Štěrba, J. Edwards, L. Feštr, T. Slowiak","BK ARMEX ENERGY Děčín|13,16,20,44,7",1,0.1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK GAPA Hradec Králové,"M. Popović, D. Škranc, T. Mikyska, K. Brewton, K. Chatman","BK GAPA Hradec Králové|10,12,13,2,5",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
USK Praha,"J. Montgomery, S. Macht, E. Edigin, M. Šafařík, T. Palas","USK Praha|0,11,41,5,8",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK GAPA Hradec Králové,"M. Popović, D. Škranc, T. Merta, T. Dvořák, K. Chatman","BK GAPA Hradec Králové|10,12,23,44,5",1,0.1,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
NH Ostrava,"A. Číž, M. Svoboda, L. Palyza, K. Cole, L. Greer","NH Ostrava|11,20,23,24,3",1,0.1,5.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.0,0.0,236.7,-236.7,0.0,-4
NH Ostrava,"M. Snopek, M. Čank, M. Svoboda, L. Palyza, L. Greer","NH Ostrava|10,19,20,23,3",1,0.1,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1,0.0,208.3,-208.3,0.0,-2
NH Ostrava,"M. Čank, M. Svoboda, P. Novák, L. Palyza, L. Greer","NH Ostrava|19,20,22,23,3",1,0.1,5.0,1,0,2,0.0,0,2,0.0,1,2,50.0,0,0,0,0,0,0,0,0,0,2.8,36.2,0.0,36.2,12.0,1
BK ARMEX ENERGY Děčín,"J. Štěrba, D. Davis, J. Edwards, L. Bryan Jr, L. Feštr","BK ARMEX ENERGY Děčín|16,2,20,22,44",1,0.1,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
SK Slavia Praha,"M. Ježek, R. Jones, D. Böhm, M. Dáňa, R. Pumprla","SK Slavia Praha|12,15,7,88,9",1,0.1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK ARMEX ENERGY Děčín,"F. Kroutil, D. Davis, L. Feštr, M. Šturanović, T. Pomikálek","BK ARMEX ENERGY Děčín|13,2,44,47,5",1,0.1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK GAPA Hradec Králové,"M. Popović, A. Petric, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|10,11,2,24,5",1,0.1,9.0,1,0,0,0,0,0,0,1,3,33.3,0,0,0,1,0,0,0,0,0,1.3,78.9,0.0,78.9,6.67,1
SK Slavia Praha,"J. Matušík, R. Mrázek, P. Macháč, D. Böhm, M. Dáňa","SK Slavia Praha|16,22,35,7,88",1,0.1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,0.0,208.3,-208.3,0.0,-2
Sršni Photomate Písek,"M. Kozák, J. Haiblík, K. Týml, J. Karlovský, J. Šurý","Sršni Photomate Písek|11,13,33,41,55",1,0.1,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.0,0.0,110.8,-110.8,0.0,-2
BK Opava,"C. Brown Jr, Š. Puršl, R. Kouřil, J. Šiřina, J. Slavík","BK Opava|13,20,21,24,33",1,0.1,8.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
BK Opava,"C. Brown Jr, Š. Puršl, M. Vyroubal, J. Slavík, J. Švandrlík","BK Opava|13,20,25,33,8",1,0.1,8.0,1,0,0,0,0,0,0,1,2,50.0,0,0,0,0,0,0,0,0,0,0.8,118.4,0.0,118.4,7.5,1
BK GAPA Hradec Králové,"M. Popović, D. Škranc, T. Mikyska, K. Brewton, T. Merta","BK GAPA Hradec Králové|10,12,13,2,23",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK Olomoucko,"M. Nelson, J. Andre, J. Holmes, K. Filewich, O. Šiška","BK Olomoucko|0,10,13,14,9",1,0.1,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
PUMPA Basket Brno,"P. Křivánek, V. Půlpán, J. Groves, M. Stráněl, R. Farský","PUMPA Basket Brno|12,18,20,7,8",1,0.1,5.0,1,0,0,0,0,0,0,1,1,100.0,0,0,0,1,0,0,0,0,2,0.4,236.7,208.3,28.4,12.0,-1
NH Ostrava,"A. Číž, S. Godwin, M. Svoboda, K. Cole, E. Cato","NH Ostrava|11,14,20,24,25",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK Opava,"W. Person Jr, R. Kouřil, M. Vyroubal, J. Švandrlík, F. Zbránek","BK Opava|1,21,25,8,9",1,0.1,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.0,118.4,-118.4,0.0,-1
ERA Basketball Nymburk,"S. Rice, M. Svoboda, O. Sehnal, J. Shumate, K. Feazell","ERA Basketball Nymburk|10,11,19,32,6",1,0.1,4.0,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
NH Ostrava,"M. Čank, M. Svoboda, P. Novák, L. Palyza, D. Heinzl","NH Ostrava|19,20,22,23,7",1,0.1,3.0,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,0,0,0,0,0,0,1.8,55.4,0.0,55.4,20.0,1
BK KVIS Pardubice,"L. Kovář, R. Bonham, J. Bryant, A. Lukeš, J. Tůma","BK KVIS Pardubice|21,3,4,7,98",1,0.1,9.0,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,0.8,236.7,0.0,236.7,13.33,2
BK Opava,"W. Person Jr, J. Šiřina, M. Vyroubal, J. Slavík, J. Švandrlík","BK Opava|1,24,25,33,8",1,0.1,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK Opava,"W. Person Jr, C. Brown Jr, R. Kouřil, J. Slavík, F. Zbránek","BK Opava|1,13,21,33,9",1,0.1,7.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0
BK GAPA Hradec Králové,"C. John, D. Škranc, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|10,12,2,24,5",1,0.1,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0.0,0.0,0.0,0
BK GAPA Hradec Králové,"M. Popović, D. Škranc, K. Brewton, M. Roub, K. Chatman","BK GAPA Hradec Králové|10,12,2,24,5",1,0.0,2.0,1,0,0,0,0,0,0,1,3,33.3,0,0,0,1,0,0,0,0,0,1.3,78.9,0.0,78.9,30.0,1
NH Ostrava,"A. Číž, M. Čank, L. Palyza, L. Greer, J. Roche","NH Ostrava|11,19,23,3,35",1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.0,118.4,-118.4,0.0,-1
ERA Basketball Nymburk,"S. Rice, M. Svoboda, W. Dreamer, O. Sehnal, F. Rylich","ERA Basketball Nymburk|10,11,12,19,73",1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK KVIS Pardubice,"R. Moffatt, Z. Key, R. Bonham, M. Nábělek, A. Lukeš","BK KVIS Pardubice|13,23,3,5,7",1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
SLUNETA  Ústí nad Labem,"N. Johnson, T. Vyoral, L. Pecka, F. Kábrt, J. Eatmon","SLUNETA  Ústí nad Labem|10,4,44,8,99",1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
NH Ostrava,"M. Snopek, A. Číž, M. Svoboda, K. Cole, L. Greer","NH Ostrava|10,11,20,24,3",1,0.0,1.0,1,0,0,0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,0,0.4,236.7,0.0,236.7,60.0,1
SLUNETA  Ústí nad Labem,"N. Johnson, J. Potoček, T. Vyoral, F. Kábrt, D. Žikla","SLUNETA  Ústí nad Labem|10,31,4,8,9",1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
ERA Basketball Nymburk,"S. Rice, J. Bohačík, O. Sehnal, J. Shumate, F. Rylich","ERA Basketball Nymburk|10,17,19,32,73",1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
ERA Basketball Nymburk,"S. Rice, O. Sehnal, J. Brickus, M. Kříž, J. Shumate","ERA Basketball Nymburk|10,19,2,31,32",1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1.0,0.0,62.5,-62.5,0.0,-3
ERA Basketball Nymburk,"S. Rice, O. Sehnal, M. Kříž, J. Shumate, F. Rylich","ERA Basketball Nymburk|10,19,31,32,73",1,0.0,2.0,2,0,0,0,0,0,0,2,2,100.0,0,0,0,0,0,0,0,0,0,0.8,236.7,0.0,236.7,60.0,2
SLUNETA  Ústí nad Labem,"N. Johnson, J. Young, J. Potoček, T. Vyoral, D. Žikla","SLUNETA  Ústí nad Labem|10,2,31,4,9",1,0.0,2.0,0,0,1,0.0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.0,236.7,-236.7,0.0,-2
ERA Basketball Nymburk,"J. Bohačík, O. Sehnal, J. Shumate, J. Lawrence, F. Rylich","ERA Basketball Nymburk|17,19,32,40,73",1,0.0,2.0,1,0,0,0,0,0,0,1,1,100.0,0,0,0,0,0,0,0,0,0,0.4,236.7,0.0,236.7,30.0,1
BK ARMEX ENERGY Děčín,"P. Alexander, F. Kroutil, D. Davis, M. Šturanović, O. Žižka","BK ARMEX ENERGY Děčín|0,13,2,47,9",1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
BK Opava,"W. Person Jr, Š. Puršl, M. Vyroubal, J. Švandrlík, F. Zbránek","BK Opava|1,20,25,8,9",1,0.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.0,118.4,-118.4,0.0,-1
Sršni Photomate Písek,"J. Haiblík, K. Týml, M. Svoboda, J. Svoboda, P. Šlechta","Sršni Photomate Písek|13,33,71,77,8",1,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0
