# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 423
# Qualified players exported: 294
# Total stints used: 11903
# Garbage time stints excluded: 421
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
LOK BERNAU,2,Emanuel Schüler,888,-1.8,-3.16,-4.95
Iserlohn Kangaroos,22,Ruben Dahmen,684,-3.97,-1.01,-4.98
RASTA Vechta II,44,Ivan Volf,671,-1.24,-3.75,-4.98
TV Langen,7,Michael Agyemang,362,-2.82,-2.3,-5.12
LOK BERNAU,14,Anton Kemmer,310,-5.64,0.33,-5.31
Dragons Rhöndorf,5,Dusan Ilic,1043,-4.05,-1.68,-5.73
TKS 49ers,14,Benjamin Faatz,907,-1.84,-3.99,-5.83
BBC Coburg,4,Felix Egger,669,-3.22,-3.51,-6.73
Dresden Titans,21,Malte Silbermann,581,-6.91,-0.45,-7.37
TKS 49ers,10,Linus Jannik Briesemeister,745,-3.95,-3.75,-7.7
VR-Bank Würzburg Baskets Akademie,2,Jervis Scheffs,897,-5.09,-3.12,-8.2
