# RAPM - Regularized Adjusted Plus/Minus
# Regularization parameter (alpha/lambda): 800
# Minimum possessions filter: 250
# Total players in calculation: 288
# Qualified players exported: 211
# Total stints used: 9049
# Garbage time stints excluded: 343
Team,Player_Number,Player_Name,Possessions,ORAPM,DRAPM,RAPM
Paderborn Baskets,0,Efosa K Irobun Osawe,1072,0.16,-1.89,-1.73
VfL SparkassenStars Bochum,99,Aitor Julen Pickett Lazo,271,-0.16,-1.57,-1.73
Artland Dragons,13,Dejan Bruce,306,-0.56,-1.22,-1.79
Paderborn Baskets,10,Nicolas Ignacio Marty-Decker,893,-2.32,0.51,-1.82
Bayer Giants Leverkusen,2,Viktor Ziring,357,0.64,-2.48,-1.84
EPG Baskets Koblenz,4,Aleksa Kovacevic,870,-0.92,-0.93,-1.85
SBB Baskets,4,De'Vondre Malik Perry,878,-3.04,1.15,-1.89
Bozic Estriche Knights Kirchheim,8,Lucas Mayer,1151,-2.31,0.41,-1.9
PS Karlsruhe LIONS,22,Mikal Dawson,335,-2.71,0.76,-1.96
VfL SparkassenStars Bochum,4,Niklas Geske,1124,0.25,-2.21,-1.96
Uni Baskets Münster,17,Oliver Pahnke,357,-0.88,-1.16,-2.04
Uni Baskets Münster,4,Nicholas Khalil Mc Mullen,1174,0.46,-2.59,-2.12
BBC Bayreuth,8,Nat Diallo,897,-1.25,-0.98,-2.23
Tigers Tübingen,15,Patrick Etienne Fardy Emilien,533,1.79,-4.04,-2.25
Eisbären Bremerhaven,21,Till Isemann,333,-1.88,-0.39,-2.27
PS Karlsruhe LIONS,12,Kilian Binapfl,853,0.28,-2.56,-2.28
BG Göttingen,17,Mathis Mönninghoff,1018,1.73,-4.07,-2.35
Paderborn Baskets,26,Leonard Kröger,318,0.39,-2.76,-2.36
Eisbären Bremerhaven,8,Jemarl Lemuel Baker Jr.,1002,-0.8,-1.58,-2.39
Paderborn Baskets,5,Matej Silic,681,-0.36,-2.07,-2.43
EPG Baskets Koblenz,1,Julian Lamont Larry,292,-0.91,-1.52,-2.43
Uni Baskets Münster,24,Jesse Chidera Ani,811,-1.43,-1.06,-2.49
Uni Baskets Münster,3,Paul Viefhues,1041,-1.22,-1.28,-2.5
Uni Baskets Münster,27,Curtis Tarell Jones Jr,276,-0.53,-2.09,-2.61
Nürnberg Falcons BC,44,Lars Lagerpusch,433,-1.73,-0.93,-2.66
Paderborn Baskets,22,Aaron Kayser,631,-2.95,0.26,-2.69
Tigers Tübingen,5,Kaya Kaan Hakan Bayram,985,-0.82,-1.88,-2.7
EPG Baskets Koblenz,22,Alexander Möller,741,-0.26,-2.5,-2.76
Uni Baskets Münster,0,Andrew O'Brien,1054,-2.4,-0.39,-2.79
BBC Bayreuth,51,Louis Nauthon,284,-2.85,-0.07,-2.92
GIESSEN 46ers,24,Roland L'Amour Nyama,263,-1.84,-1.14,-2.98
RheinStars Köln,39,Kenny André Calliste Kéannou Baptiste,422,-0.56,-2.42,-2.99
PS Karlsruhe LIONS,14,Brandon Angelo Porter,301,-2.08,-0.97,-3.04
