Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
VfL SparkassenStars Bochum,Aitor Julen Pickett Lazo,99,Aitor Julen Pickett Lazo,7,21.3,148.8,31.0,4.4,14.0,26.0,53.8,0.0,7.0,0,3.0,4.0,75,15.0,18.0,33.0,5.0,3.0,1.0,3.0,19.0,15.1,5.4,1.4,0.2,1.5,13,44.0,6.3,2.1,2,1.0,2,0,50.0,2.0,2,-3.17,-5.09,1.92,4.3,4.5,16.0,13.0,81.2,3.0,1.0,33.3,0.0,0.0,0,7.0,0.0,1.0,1.0,0.0,0.0,15.0,0.0,4.0
RheinStars Köln,Marko Cuvalo,14,Marko Cuvalo,7,5.1,36.0,12.0,1.7,6.0,9.0,66.7,0.0,0.0,0,0.0,1.0,0,2.0,3.0,5.0,0.0,0.0,0.0,4.0,8.0,11.0,16.1,0.6,0.0,0.2,0,12.0,1.7,0.6,0,0,0,0,0,0.0,0,-10.35,-10.12,-0.23,3.4,4.1,9.0,6.0,66.7,0.0,0.0,0,0.0,0.0,0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0
Phoenix Hagen,Jan Razdevsek,44,Jan Razdevsek,7,2.2,15.3,10.0,1.4,4.0,7.0,57.1,1.0,4.0,25,1.0,2.0,50,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,10.4,34.5,0.5,0.1,0.0,4,14.0,2.0,0.6,4,4.0,4,0,50.0,5.0,1,-1.4,-2.72,1.32,2.8,3.5,1.0,1.0,100,2.0,2.0,100,0.0,0.0,0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,5.0,3.0
Nürnberg Falcons BC,Lars Lenke,11,Lars Lenke,7,1.5,10.8,0.0,0.0,0.0,1.0,0,0.0,1.0,0,0.0,2.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,4.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-11.87,-8.89,-2.98,3.0,4.4,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBB Baskets,Ben Köhler,3,Ben Köhler,7,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,-6.16,-6.62,0.46,3.0,4.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBB Baskets Wolmirstedt,Travis Henson,2,Travis Henson,6,28.6,171.6,99.0,16.5,33.0,64.0,51.6,10.0,30.0,33.3,23.0,28.0,82.1,6.0,19.0,25.0,3.0,4.0,3.0,8.0,16.0,75.2,23.1,21.7,0.7,5.5,8,107.0,17.8,23.5,3,3.0,2,1,61.5,3.4,1,0.9,-0.04,0.93,3.6,2.6,18.0,17.0,94.4,16.0,6.0,37.5,0.0,0.0,0,6.0,2.0,4.0,2.0,0.0,0.0,15.0,17.0,22.0
SBB Baskets Wolmirstedt,Trey Thompson Stewart,1,Trey Thompson Stewart,6,27.5,164.9,84.0,14.0,31.0,61.0,50.8,9.0,25.0,36,13.0,15.0,86.7,7.0,6.0,13.0,9.0,10.0,4.0,13.0,18.0,70.7,22.6,18.4,2.0,2.9,21,105.0,17.5,23.0,0,0,0,0,0,0.0,0,1.12,-1.17,2.3,2.5,2.6,29.0,18.0,62.1,7.0,4.0,57.1,0.0,0.0,0,11.0,1.0,6.0,4.0,0.0,1.0,4.0,19.0,19.0
SBB Baskets Wolmirstedt,Jalen Benjamin,5,Jalen Benjamin,6,22.4,134.5,67.0,11.2,19.0,61.0,31.1,6.0,20.0,30,23.0,30.0,76.7,0.0,7.0,7.0,16.0,3.0,0.0,15.0,7.0,85.6,33.5,14.7,3.5,1.5,36,103.0,17.2,22.6,4,4.0,4,2,41.0,4.9,1,-8.32,-5.52,-2.79,1.7,3.0,22.0,9.0,40.9,19.0,4.0,21.1,0.0,0.0,0,9.0,4.0,8.0,4.0,0.0,3.0,6.0,13.0,6.0
SBB Baskets Wolmirstedt,Joshua Bonga,0,Joshua Bonga,6,22.9,137.4,55.0,9.2,19.0,51.0,37.3,8.0,27.0,29.6,9.0,18.0,50,3.0,17.0,20.0,15.0,2.0,1.0,7.0,16.0,60.4,23.2,12.1,3.3,4.4,31,86.0,14.3,18.9,0,0.0,1,0,0.0,2.0,1,-4.42,-4.45,0.03,2.9,3.2,19.0,10.0,52.6,5.0,1.0,20,0.0,0.0,0,7.0,2.0,5.0,1.0,0.0,1.0,4.0,10.0,11.0
GIESSEN 46ers,Abu Kigab,47,Abu Kigab,6,21.0,125.8,55.0,9.2,22.0,57.0,38.6,3.0,14.0,21.4,8.0,19.0,42.1,5.0,23.0,28.0,6.0,4.0,3.0,6.0,14.0,63.7,26.3,2.5,0.3,1.3,17,72.0,12.0,3.3,7,3.5,6,0,58.3,6.0,2,-3.19,-6.55,3.36,4.2,4.5,26.0,16.0,61.5,17.0,3.0,17.6,0.0,0.0,0,8.0,0.0,2.0,3.0,0.0,0.0,2.0,14.0,17.0
Nürnberg Falcons BC,Georgios Gkiouzelis,12,Georgios Gkiouzelis,6,19.0,113.9,48.0,8.0,17.0,32.0,53.1,8.0,18.0,44.4,6.0,7.0,85.7,0.0,16.0,16.0,1.0,3.0,0.0,7.0,12.0,40.4,18.6,2.2,0.0,0.7,3,51.0,8.5,2.4,5,2.5,4,0,62.5,4.0,2,-1.72,-4.26,2.54,3.3,3.6,6.0,6.0,100,8.0,3.0,37.5,0.0,0.0,0,2.0,1.0,2.0,4.0,0.0,0.0,9.0,0.0,3.0
