Player,Team,Numbers,Name_Variations,Teammates,Games,Minutes,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PTS_AST,TPC,TPC/G,TPC/100,OFF_RTG,DEF_RTG,NET_RTG,eFG%,TS%,AST%,TOV%,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,UNAST_RIM_MADE,UNAST_3PT_MADE,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Jomaru BROWN,Brussels Basketball,11,Jomaru BROWN,"Arne SCHREVENS, Demetric HORTON, Louis HAZARD, Tonko VUKO",1,3.8,4,2,4,50.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,4,4.0,62.1,139.8,147.8,-8.1,50.0,50.0,0.0,0.0,0,0,0,4,2,50,0,0,0,0,0,0,0,0,0,0,2,0
Jomaru BROWN,Brussels Basketball,11,Jomaru BROWN,"Arne SCHREVENS, Jamison OVERTON, Louis HAZARD, Tonko VUKO",1,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,146.0,-146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jomaru BROWN,Brussels Basketball,11,Jomaru BROWN,"Arne SCHREVENS, Deishuan BOOKER, Jamison OVERTON, Tonko VUKO",1,1.7,0,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,150.0,146.0,4.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jomaru BROWN,Brussels Basketball,11,Jomaru BROWN,"Arne SCHREVENS, Demetric HORTON, Jamison OVERTON, Tonko VUKO",1,1.6,2,1,1,100.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,2.0,59.3,207.7,0.0,207.7,100.0,100.0,0.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,2
Louis HAZARD,Brussels Basketball,10,Louis HAZARD,"Alexandre LIBERT, Demetric HORTON, Jared AMBROSE, Tonko VUKO",1,7.2,2,1,2,50.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,2.0,17.3,69.1,115.5,-46.4,50.0,50.0,0.0,0.0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0
Louis HAZARD,Brussels Basketball,10,Louis HAZARD,"Alexandre LIBERT, Arne SCHREVENS, Demetric HORTON, Tonko VUKO",1,6.2,2,1,2,50.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2.0,15.7,148.9,124.2,24.7,50.0,50.0,0.0,0.0,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0
Louis HAZARD,Brussels Basketball,10,Louis HAZARD,"Alexandre LIBERT, Demetric HORTON, Godwin TSHIMANGA, Tonko VUKO",1,6.2,6,2,2,100.0,1,1,100.0,1,2,50.0,0,0,0,0,0,0,0,0,3,0,6,6.0,44.6,126.5,118.5,8.0,125.0,104.2,0.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,1,5
Louis HAZARD,Brussels Basketball,10,Louis HAZARD,"Arne SCHREVENS, Demetric HORTON, Jomaru BROWN, Tonko VUKO",1,3.8,2,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2.0,31.1,139.8,147.8,-8.1,100.0,100.0,0.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Louis HAZARD,Brussels Basketball,10,Louis HAZARD,"Alexandre LIBERT, Demetric HORTON, Godwin TSHIMANGA, Jared AMBROSE",1,3.1,2,1,1,100.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,2.0,66.7,66.7,115.7,-49.0,100.0,100.0,0.0,0.0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
Louis HAZARD,Brussels Basketball,10,Louis HAZARD,"Arne SCHREVENS, Jamison OVERTON, Jomaru BROWN, Tonko VUKO",1,2.4,0,0,1,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,146.0,-146.0,0.0,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
