Canonical,Team,Numbers,Variations
Peter Zeis,TSV Oberhaching Tropics,9,Peter Zeis
Levi Weng,TSV Oberhaching Tropics,10,Levi Weng
David Galusic,TSV Oberhaching Tropics,15,David Galusic
Nikola Alexander Jekov,TSV Oberhaching Tropics,20,Nikola Alexander Jekov
Daryl Woodmore,Ahorn Camp Baskets,0,Daryl Woodmore
Noah Koch,Ahorn Camp Baskets,1,Noah Koch
Dennis Diala,Ahorn Camp Baskets,3,Dennis Diala
Nicolas Prenn Bozal,Ahorn Camp Baskets,4,Nicolas Prenn Bozal
Christoph Rupp,Ahorn Camp Baskets,11,Christoph Rupp
Oluwadamilola Ade-Eri,Ahorn Camp Baskets,14,Oluwadamilola Ade-Eri
Leon Geißler,Ahorn Camp Baskets,18,Leon Geißler
Oskar Humpert,Ahorn Camp Baskets,22,Oskar Humpert
David Aichele,Ahorn Camp Baskets,28,David Aichele
Felix Angerbauer,Ahorn Camp Baskets,44,Felix Angerbauer
Brian Christopher Dawson,BG Hessing Leitershofen,0,Brian Christopher Dawson
Brendan Gregori,BG Hessing Leitershofen,1,Brendan Gregori
Tristan Göbel,BG Hessing Leitershofen,2,Tristan Göbel
Zion Antonio Richardson,BG Hessing Leitershofen,3,Zion Antonio Richardson
Emmanuel Timothy Womala,BG Hessing Leitershofen,7,Emmanuel Timothy Womala
Connor Anderson,BG Hessing Leitershofen,8,Connor Anderson
Dominik Heinrich,BG Hessing Leitershofen,13,Dominik Heinrich
Clint Hamann,BG Hessing Leitershofen,14,Clint Hamann
Jannik Westermeir,BG Hessing Leitershofen,15,Jannik Westermeir
Tom-Niclas Alte,BG Hessing Leitershofen,33,Tom-Niclas Alte
Jamie Edoka,SKYLINERS Juniors,5,Jamie Edoka
Joscha Zentgraf,SKYLINERS Juniors,7,Joscha Zentgraf
Leif Zentgraf,SKYLINERS Juniors,9,Leif Zentgraf
Alvin Onyia,SKYLINERS Juniors,10,Alvin Onyia
Julius Messer,SKYLINERS Juniors,11,Julius Messer
Julian Haskins,SKYLINERS Juniors,15,Julian Haskins
Marvin Esser,SKYLINERS Juniors,16,Marvin Esser
Ehiozogie Idemudia,SKYLINERS Juniors,20,Ehiozogie Idemudia
Lukas Smazak,SKYLINERS Juniors,35,Lukas Smazak
Florian Dietrich,SKYLINERS Juniors,43,Florian Dietrich
Emanuel Soldo,VR-Bank Würzburg Baskets Akademie,1,Emanuel Soldo
Jervis Scheffs,VR-Bank Würzburg Baskets Akademie,2,Jervis Scheffs
Eduard Rantz,VR-Bank Würzburg Baskets Akademie,8,Eduard Rantz
Lukas Roth,VR-Bank Würzburg Baskets Akademie,9,Lukas Roth
David Pisic,VR-Bank Würzburg Baskets Akademie,10,David Pisic
Jonas März,VR-Bank Würzburg Baskets Akademie,11,Jonas März
Lucas Veller,VR-Bank Würzburg Baskets Akademie,13,Lucas Veller
Paul Plato,VR-Bank Würzburg Baskets Akademie,14,Paul Plato
Clemens Sokolov,VR-Bank Würzburg Baskets Akademie,17,Clemens Sokolov
Marko Petric,VR-Bank Würzburg Baskets Akademie,23,Marko Petric
Joel Lindsay,VR-Bank Würzburg Baskets Akademie,28,Joel Lindsay
David Gerhard,VR-Bank Würzburg Baskets Akademie,32,David Gerhard
Maxwell Dongmo Temoka,Porsche BBA Ludwigsburg,0,Maxwell Dongmo Temoka
Daniel Mack,Porsche BBA Ludwigsburg,1,Daniel Mack
Lars Danziger,Porsche BBA Ludwigsburg,2,Lars Danziger
Marko Masic,Porsche BBA Ludwigsburg,7,Marko Masic
Lukas Modic,Porsche BBA Ludwigsburg,8,Lukas Modic
Yohann Tchouaffe,Porsche BBA Ludwigsburg,11,Yohann Tchouaffe
Kenan Youdom,Porsche BBA Ludwigsburg,13,Kenan Youdom
David Engelhart,Porsche BBA Ludwigsburg,14,David Engelhart
Julis Baumer,Porsche BBA Ludwigsburg,17,Julis Baumer
Simon Feneberg,Porsche BBA Ludwigsburg,20,Simon Feneberg
Bink de Goede,Porsche BBA Ludwigsburg,24,Bink de Goede
Felix Egger,BBC Coburg,4,Felix Egger
Nico Höllerl,BBC Coburg,5,Nico Höllerl
Erik Neunhoeffer,BBC Coburg,6,Erik Neunhoeffer
Julian Günther,BBC Coburg,7,Julian Günther
Nico Wenzl,BBC Coburg,8,Nico Wenzl
Tim Herzog,BBC Coburg,10,Tim Herzog
Dylan Fasoyiro,BBC Coburg,12,Dylan Fasoyiro
Darius Dawson,BBC Coburg,13,Darius Dawson
Ole Theiß,BBC Coburg,17,Ole Theiß
Pepe Levin Lahr,BBC Coburg,24,Pepe Levin Lahr
Finn Motter,BBC Coburg,75,Finn Motter
Leo Cosic,BBC Coburg,77,Leo Cosic
Niklas Pons,TV Langen,5,Niklas Pons
Luca Justus Eibelshäuser,TV Langen,6,Luca Justus Eibelshäuser
Henk Droste,TV Langen,9,Henk Droste
Leon Niederdraeing,TV Langen,10,Leon Niederdraeing
Risto Vasiljevic,TV Langen,11,Risto Vasiljevic
Aminu Abibu,TV Langen,13,Aminu Abibu
Drago Crnjac,TV Langen,20,Drago Crnjac
Paul Zaschel,TV Langen,30,Paul Zaschel
Fabian Baumgarten,TV Langen,42,Fabian Baumgarten
Leonardo Benitez,Dresden Titans,0,Leonardo Benitez
Samuel Leonard Schally,Dresden Titans,10,Samuel Leonard Schally
Duje Putnik,Dresden Titans,11,Duje Putnik
Kevin Kollmar,Dresden Titans,13,Kevin Kollmar
Osasere Best Otakho,Dresden Titans,14,Osasere Best Otakho
Malte Silbermann,Dresden Titans,21,Malte Silbermann
Sebastian Heck,Dresden Titans,25,Sebastian Heck
Georg Kupke,Dresden Titans,55,Georg Kupke
Simeon Dimitrov,Dresden Titans,77,Simeon Dimitrov
Mark Adrian Golder,SV Fellbach Flashers,0,Mark Adrian Golder
Wilko Dickgiesser,SV Fellbach Flashers,1,Wilko Dickgiesser
Mateus Rodrigues Rocha,SV Fellbach Flashers,4,Mateus Rodrigues Rocha
Travis Davis,SV Fellbach Flashers,6,Travis Davis
Tyseem Lamel Lyles,SV Fellbach Flashers,7,Tyseem Lamel Lyles
Nik Philip Schlipf,SV Fellbach Flashers,9,Nik Philip Schlipf
Jonathan Gerlinger,SV Fellbach Flashers,13,Jonathan Gerlinger
David Bjarne Frederic Volz,SV Fellbach Flashers,17,David Bjarne Frederic Volz
Nelson Okafor,SV Fellbach Flashers,21,Nelson Okafor
Thomas Billinger,SV Fellbach Flashers,22,Thomas Billinger
Mikey Manuel De Sousa,SV Fellbach Flashers,27,Mikey Manuel De Sousa
Scott Edward Stone,Dresden Titans,2,Scott Edward Stone
Abdulhay Kömürkara,Porsche BBA Ludwigsburg,12,Abdulhay Kömürkara
Joshua Kreilein,Ahorn Camp Baskets,2,Joshua Kreilein
Paul Stupperich,Ahorn Camp Baskets,21,Paul Stupperich
Teo Milicic,OrangeAcademy,4,Teo Milicic
Chevon Brown,VR-Bank Würzburg Baskets Akademie,0,Chevon Brown
Léonar Fliege,CATL Basketball Löwen,3,Léonar Fliege
Luca Förster,CATL Basketball Löwen,5,Luca Förster
Musa Abra,CATL Basketball Löwen,8,Musa Abra
Paul Albrecht,CATL Basketball Löwen,9,Paul Albrecht
Friedrich Radefeld,CATL Basketball Löwen,13,Friedrich Radefeld
Jeremie Fotso-Sighom,CATL Basketball Löwen,14,Jeremie Fotso-Sighom
Noah Kamdem,CATL Basketball Löwen,17,Noah Kamdem
Jasper Brand,CATL Basketball Löwen,21,Jasper Brand
Luke-Johan Kiraly,CATL Basketball Löwen,22,Luke-Johan Kiraly
Finn Döntgens,BBC Coburg,38,Finn Döntgens
Fabrice Heberer,SKYLINERS Juniors,3,Fabrice Heberer
Joanic Grüttner Bacoul,SV Fellbach Flashers,55,Joanic Grüttner Bacoul
Samuel Elias Nellessen,CATL Basketball Löwen,44,Samuel Elias Nellessen
Marc Deinlein,BBC Coburg,14,Marc Deinlein
Denzel Mota,BBC Coburg,44,Denzel Mota
Chris Widmer,SKYLINERS Juniors,33,Chris Widmer
Bennet Hein,TSV Oberhaching Tropics,2,Bennet Hein
Leonardo Alfonso Benitez Arocha,Dresden Titans,0,Leonardo Alfonso Benitez Arocha
Brian Butler,SV Fellbach Flashers,10,Brian Butler
