Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
Caledonia Gladiators,Ria'n Holland,10,Ria'n Holland; Rian Holland,14,30.1,421.4,163.0,11.6,55.0,127.0,43.3,14.0,43.0,32.6,39.0,49.0,79.6,14.0,44.0,58.0,59.0,39.0,1.0,27.0,34.0,155.1,19.3,11.8,4.3,4.2,140,303.0,21.6,22.0,6,2.0,4,2,61.5,4.9,3,1.83,-3.07,4.9,1.5,2.3,39.0,23.0,59,45.0,18.0,40,43.0,14.0,32.6,12.0,13.0,0.0,2.0,14.0,40.0,25.0
B. Braun Sheffield Sharks,Mervin James,5,Mervin James,14,15.6,217.8,140.0,10.0,52.0,108.0,48.1,7.0,18.0,38.9,29.0,36.0,80.6,14.0,54.0,68.0,12.0,4.0,2.0,24.0,19.0,128.5,30.6,9.5,0.8,4.6,29,169.0,12.1,11.5,15,5.0,14,3,49.0,16.3,3,-1.53,-3.83,2.3,4.4,2.9,51.0,32.0,62.7,39.0,13.0,33.3,18.0,7.0,38.9,10.0,8.0,0.0,6.0,18.0,37.0,22.0
Leicester Riders,Victor Ndoukou,25,Victor Ndoukou,14,5.6,78.7,11.0,0.8,4.0,15.0,26.7,2.0,11.0,18.2,1.0,5.0,20,4.0,7.0,11.0,6.0,1.0,1.0,2.0,8.0,14.6,9.7,0.8,0.5,0.8,12,23.0,1.6,1.8,0,0,0,0,0,0.0,0,-6.22,-7.77,1.55,3.2,4.6,3.0,2.0,66.7,1.0,0.0,0,11.0,2.0,18.2,1.0,1.0,0.0,0.0,0.0,6.0,6.0
B. Braun Sheffield Sharks,Reyad West,6,Reyad West,14,0.2,3.2,2.0,0.1,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.5,0.1,0.0,0.0,0,2.0,0.1,0.1,0,0,0,0,0,0.0,0,1.71,-3.27,4.99,3.0,3.8,0.0,0.0,0,1.0,1.0,100,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leicester Riders,Donald Carey Jr,13,Donald Carey Jr,13,32.7,424.5,217.0,16.7,67.0,145.0,46.2,28.0,68.0,41.2,55.0,62.0,88.7,6.0,46.0,52.0,94.0,20.0,0.0,49.0,23.0,206.7,25.4,16.5,7.2,4.0,190,407.0,31.3,31.0,27,3.0,17,16,56.2,34.0,9,2.7,0.13,2.57,1.3,1.0,47.0,26.0,55.3,30.0,13.0,43.3,68.0,28.0,41.2,28.0,18.0,0.0,3.0,24.0,52.0,35.0
Newcastle Eagles,Gus Okafor,99,Gus Okafor,13,23.4,304.5,151.0,11.6,46.0,106.0,43.4,21.0,49.0,42.9,38.0,57.0,66.7,17.0,44.0,61.0,26.0,4.0,4.0,11.0,29.0,120.1,19.5,8.4,1.4,3.4,63,214.0,16.5,11.9,10,2.0,12,6,34.2,16.6,5,1.06,-1.47,2.53,3.8,2.7,28.0,14.0,50,29.0,11.0,37.9,49.0,21.0,42.9,2.0,4.0,0.0,5.0,20.0,30.0,15.0
London Lions,Chasson Jermar Randle,2,Chasson Jermar Randle,13,19.2,249.6,117.0,9.0,40.0,82.0,48.8,21.0,52.0,40.4,16.0,17.0,94.1,4.0,24.0,28.0,23.0,5.0,1.0,14.0,27.0,95.5,21.2,8.1,1.6,1.9,52,169.0,13.0,11.7,6,6.0,4,0,75.0,5.0,1,4.48,-0.97,5.45,2.7,2.5,23.0,17.0,73.9,7.0,2.0,28.6,52.0,21.0,40.4,9.0,3.0,0.0,2.0,2.0,28.0,18.0
Leicester Riders,Aaron Menzies,12,Aaron Menzies,13,14.2,184.1,63.0,4.8,21.0,38.0,55.3,0.0,1.0,0,21.0,33.0,63.6,22.0,43.0,65.0,10.0,1.0,11.0,21.0,30.0,49.5,14.0,4.8,0.8,5.0,29,92.0,7.1,7.0,4,1.0,5,2,34.0,6.9,4,-4.28,-7.65,3.36,5.0,3.8,27.0,17.0,63,10.0,4.0,40,1.0,0.0,0,2.0,12.0,1.0,6.0,21.0,7.0,5.0
Caledonia Gladiators,Kevin Allen,0,Kevin Allen,12,24.6,295.5,205.0,17.1,79.0,136.0,58.1,0.0,4.0,0,47.0,54.0,87,25.0,57.0,82.0,20.0,4.0,4.0,30.0,21.0,158.2,28.1,14.9,1.4,5.9,39,244.0,20.3,17.7,7,2.3,9,2,35.4,11.9,3,1.72,-0.25,1.97,4.6,1.3,82.0,58.0,70.7,50.0,21.0,42,4.0,0.0,0,14.0,10.0,0.0,6.0,44.0,17.0,32.0
Leicester Riders,Nathaniel Martin,41,Nathaniel Martin,12,24.9,298.4,91.0,7.6,36.0,66.0,54.5,0.0,0.0,0,19.0,38.0,50,28.0,59.0,87.0,19.0,6.0,5.0,14.0,27.0,66.0,11.5,6.9,1.4,6.6,45,136.0,11.3,10.4,13,2.6,8,8,56.4,11.5,5,-1.56,-4.39,2.83,4.6,4.0,40.0,26.0,65,26.0,10.0,38.5,0.0,0.0,0,7.0,4.0,0.0,3.0,16.0,18.0,8.0
London Lions,Shavar Reynolds Jr,33,Shavar Reynolds Jr,11,22.5,247.5,116.0,10.5,38.0,81.0,46.9,11.0,20.0,55,29.0,31.0,93.5,8.0,13.0,21.0,54.0,6.0,1.0,17.0,25.0,99.5,22.3,8.1,3.7,1.5,112,228.0,20.7,15.8,11,2.2,5,9,61.4,10.0,5,6.1,1.11,4.99,1.6,1.3,25.0,15.0,60,36.0,12.0,33.3,20.0,11.0,55,14.0,3.0,0.0,0.0,15.0,21.0,14.0
London Lions,Kameron Mcgusty,23,Kameron Mcgusty,11,22.7,250.0,99.0,9.0,38.0,94.0,40.4,7.0,24.0,29.2,16.0,28.0,57.1,5.0,25.0,30.0,36.0,16.0,2.0,17.0,19.0,113.6,25.2,6.9,2.5,2.1,87,186.0,16.9,12.9,8,2.7,6,8,42.0,9.5,3,2.15,-4.39,6.54,2.0,3.5,37.0,21.0,56.8,33.0,10.0,30.3,24.0,7.0,29.2,10.0,5.0,0.0,2.0,18.0,18.0,22.0
Manchester Basketball,Gabriel Osbuhein,3,Gabriel Osbuhein,11,20.5,226.0,73.0,6.6,29.0,62.0,46.8,0.0,2.0,0,15.0,28.0,53.6,26.0,30.0,56.0,45.0,16.0,6.0,17.0,37.0,62.7,14.1,5.4,3.3,4.2,100,173.0,15.7,12.9,3,0.8,4,3,28.2,5.3,4,2.13,-3.41,5.54,3.0,2.8,47.0,27.0,57.4,12.0,2.0,16.7,2.0,0.0,0,10.0,5.0,0.0,2.0,13.0,18.0,15.0
