Canonical,Team,Numbers,Variations
Aringas Brazauskas,Kretingos Kretinga-Rivile,10,Aringas Brazauskas
Aistis Lukoševičius,Ukmergės Stekas,1,Aistis Lukoševičius
Josef John Fahrenholtz,Marijampolės Sūduva-Mantinga,14,Josef John Fahrenholtz
Nathan Delaney Robinson,Kauno r. Omega-Tauras-LSU,0,Nathan Delaney Robinson
Dominykas Agajev,Palangos Olimpas,9,Dominykas Agajev
Laurynas Vitosis,Šilutės Šilutė-PDS.lt,30,Laurynas Vitosis
Markus Jordan Terry,Alytaus Alytus,2,Markus Jordan Terry
Cameron Nafis Copeland,Mažeikių M Basket,41,Cameron Nafis Copeland
Jahii Karanja Carson,Šilutės Šilutė-PDS.lt,1,Jahii Karanja Carson
Justinas Ramanauskas,Vilkaviškio Perlas Go,1,Justinas Ramanauskas
Marcale Cardale Lotts,Telšių Telšiai,11,Marcale Cardale Lotts
Egitas Latanauskas,Ukmergės Stekas,8,Egitas Latanauskas
Lukas Dėdelis,Marijampolės Sūduva-Mantinga,23,Lukas Dėdelis
Dovydas Buika,Kauno Žalgiris-2,24,Dovydas Buika
Dominykas Šimonis,Alytaus Alytus,13,Dominykas Šimonis
Rytis Dambrauskas,Kėdainių sporto centras,32,Rytis Dambrauskas
Player None,Vilkaviškio Perlas Go,None,Player None
