Canonical,Team,Numbers,Variations
Aidan Whalen,Laurier,12,Aidan Whalen
Hazara Jawanda,Laurier,13/14/22/31/33,Hazara Jawanda
Noah Ramsbottom,Laurier,0/10,Noah Ramsbottom
Mark Pohner,Laurier,4,Mark Pohner
Charlie Kuepfer,Laurier,5,Charlie Kuepfer
Liban Abdalla,Laurier,8,Liban Abdalla
Joshua Loblaw,Laurier,9,Joshua Loblaw
Malik Langenegger,Laurier,0/10,Malik Langenegger
Julien Binzangi,Laurier,34,Julien Binzangi
JAMES KELLY,McMaster,5,James Kelly; JAMES KELLY
TYLER GARCIA,McMaster,32/6,TYLER GARCIA; Tyler Garcia
ARES CULLEY-BREMNER,McMaster,8,Ares Culley-Bremner; ARES CULLEY-BREMNER
JACK MCMAHAN,McMaster,22,Jack McMahan; JACK MCMAHAN
RIAZ SALIU,McMaster,33,RIAZ SALIU; Riaz Saliu
JAYLEN RAMSAY,McMaster,1,JAYLEN RAMSAY; Jaylen Ramsay
JACYN TAYLOR,McMaster,3,Jacyn Taylor; JACYN TAYLOR
CARSON BARTLETT,McMaster,4,Carson Bartlett; CARSON BARTLETT
GRANT FAIRLEY,McMaster,9,GRANT FAIRLEY
XAVIER SNAGG,McMaster,12,XAVIER SNAGG; Xavier Snagg
JEREMIAH FRANCIS,McMaster,13,JEREMIAH FRANCIS; Jeremiah Francis
COOPER DARKE,McMaster,15,COOPER DARKE; Cooper Darke
RILEY BLEICH,McMaster,21,Riley Bleich; RILEY BLEICH
ISAIAH FLORES,McMaster,25,Isaiah Flores; ISAIAH FLORES
SAMSON VANKOUGHNETT,McMaster,32,SAMSON VANKOUGHNETT
Jerimiah Kwarteng,York,1,Jerimiah Kwarteng; Jeremiah Kwarteng
Jayden Jack,York,2,Jayden Jack
Nathan Carr,York,8,Nathan Carr
Nickele Harris,York,23,Nickele Harris
Gilian Mavoungou,York,20/24,Gilian Mavoungou
Jackson Mackinnon-Me,York,5,Jackson Mackinnon-Me
Kevin Okeke,York,6,Kevin Okeke
Malakai Ayres-Olson,York,11,Malakai Ayres-Olson
LaDainian James,York,12,LaDainian James
Mathis Flason,York,20,Mathis Flason
Georgi Stevanovic,York,21,Georgi Stevanovic
Matt Aebersold,Windsor,7,Matt Aebersold
Andrew Cook,Windsor,11,Andrew Cook
Emanuel Otong,Windsor,12,Emanuel Otong
Bronson Chambers,Windsor,13,Bronson Chambers
Luke Grace,Windsor,32,Luke Grace
Austin Brown,Windsor,1,Austin Brown
Parker Wyant,Windsor,2,Parker Wyant
Dallas Champagnie Smith,Windsor,15/3,Dallas Champagnie Smith
Tife Obasato,Windsor,5,Tife Obasato
David Madamidola,Windsor,6,David Madamidola
Marodama Benjamin,Windsor,8,Marodama Benjamin
Quinn Carey,Windsor,9,Quinn Carey
Dawson Winegard,Windsor,10,Dawson Winegard
Isiah Dunlop,Windsor,21,Isiah Dunlop
Jahbel Hamilton,Windsor,22,Jahbel Hamilton
Kal-El Alejo,Algoma,1,Kal-El Alejo
Oliver Kristoffersen,Algoma,3,Oliver Kristoffersen
Jean-Luc Cubahiro,Algoma,7,Jean-Luc Cubahiro
Shalom Anyikwa,Algoma,20,Shalom Anyikwa
Logan Whitmell,Algoma,30,Logan Whitmell
