Team,Lineup,GAMES,TOTAL_TIME,VS_STARTERS_MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,NET_RTG,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV,2ND_CHANCE_PTS_VS,FAST_BREAK_PTS_VS,PTS_OFF_TOV_VS
Bashkimi,"I. Nwamu, K. Anderson, L. Zeqiri, T. Bickerstaff, V. Gjecaj",1,42,0.0,2,1,1,100,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,106.4,54.9,158,43.8,15.2,100,100,0,0,100,0,0,0,208.3,1,0,0,0,0,0,0,1,2,50,0,0,0,0,0,0,2,1,3,0,56.8,69.4,0,0,36.2,1,1,100,0,0,0,0,0,0,0,0,0,0,172.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
Rahoveci 029,"A. Patty, B. Rexha, I. Umipig, K. Pullian, K. Ujkani",1,34,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,63.7,67.8,59.6,35.4,40.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,1,0,113.6,0,0,0,236.7,1,0,0,0,0,0,0,0,0,0,0,0,0,-236.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahoveci 029,"A. Berisha, A. Patty, F. Rugova, I. Umipig, K. Pullian",1,7,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,181.7,329.1,34.3,7.3,70.0,0,0,0,0,0,0,0,100,0,0,0,1,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rahoveci 029,"A. Patty, E. Haxhimurati, F. Rugova, J. Roche, K. Pullian",1,2,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,636,1152,120,2.1,20.0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bora,"A. Hot, A. Mekic, G. Zeqiri, S. Jules, T. Cheese",1,31,0.5,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,74.3,74.3,74.3,32.3,32.3,0,0,0,100,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,100,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bora,"A. Mekic, G. Zeqiri, R. Memedi, S. Jules, T. Cheese",1,18,0.3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,70.7,128,13.3,18.8,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vëllaznimi,"A. Koshi, D. Dedushaj, J. Hellems, T. Todd, Z. Reid",1,29,0.0,2,0,0,0,0,0,0,2,3,66.7,0,0,0,1,1,0,0,0,1,92.2,104.9,79.4,22.9,30.2,0,75.8,0,0,0,0,0,0,157.8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0
Bora,"A. Hot, C. Payton, J. Zeqiri, S. Jules, T. Cheese",1,45,0.0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,73.7,51.2,96.3,46.9,24.9,0,0,0,0,50,0,0,100,0,3,1,2,50,0,0,0,1,2,50,1,1,2,0,0,0,0,0,2,50,52.1,0,50,0,166.2,0,0,0,0,0,0,1,0,0,0,0,0,0,-166.2,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Vëllaznimi,"J. Hellems, J. Ismajli, L. Colimerio, R. Dahsyla, Z. Reid",1,23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,100.2,100.2,100.2,24.0,24.0,0,0,0,0,0,100,0,0,0,2,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,100,100,0,0,0,208.3,0,0,0,0,0,0,0,0,0,1,0,0,0,-208.3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Golden Eagle Ylli,"A. Gashi, A. Scott, B. Huffman, G. Morina, J. Reece",1,27,0.0,2,0,0,0,0,0,0,2,2,100,0,0,0,0,0,0,0,1,1,42,75.1,8.9,32.0,270.0,0,113.6,0,0,0,0,0,0,236.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
