Team,Player_Name,Numbers_Worn,Name_Variations,Games,MPG,MIN,PTS,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,USG%,PTS/100,AST/100,REB/100,PTS_AST,TPC,TPC/G,TPC/100,CLUTCH_PTS,CLUTCH_PPG,CLUTCH_FGA,CLUTCH_FTA,CLUTCH_TS%,CLUTCH_USG,CLUTCH_GAMES,BPM,OBPM,DBPM,POSITION,ROLE,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,2ND_CHANCE_PTS,FAST_BREAK_PTS,PTS_OFF_TOV
BK KVIS Pardubice,J. Bryant,4,J. Bryant,35,28.0,979.7,738.0,21.1,247.0,517.0,47.8,64.0,186.0,34.4,180.0,204.0,88.2,37.0,138.0,175.0,150.0,73.0,4.0,90.0,89.0,633.4,33.4,38.9,7.9,9.2,17,755.0,21.6,39.8,106,5.9,61,42,66.7,89.5,18,10.12,2.81,7.31,2.2,1.0,245.0,145.0,59.2,83.0,36.0,43.4,182.0,63.0,34.6,37.0,46.0,0.0,7.0,91.0,174.0,169.0
Sršni Photomate Písek,J. Karlovský,41,J. Karlovský,35,23.1,808.6,535.0,15.3,195.0,354.0,55.1,28.0,87.0,32.2,117.0,153.0,76.5,62.0,107.0,169.0,80.0,19.0,12.0,80.0,120.0,421.7,26.5,33.8,5.1,10.7,4,539.0,15.4,34.1,33,3.3,20,12,65.3,28.3,10,2.35,-0.89,3.24,3.8,1.6,187.0,120.0,64.2,80.0,47.0,58.8,87.0,28.0,32.2,28.0,35.0,1.0,16.0,126.0,83.0,100.0
BK KVIS Pardubice,Z. Key,23,Z. Key,35,22.3,781.9,474.0,13.5,163.0,251.0,64.9,0.0,2.0,0,148.0,206.0,71.8,90.0,153.0,243.0,37.0,14.0,61.0,49.0,102.0,288.6,19.1,31.3,2.4,16.0,2,476.0,13.6,31.4,31,2.8,14,16,73.7,25.0,11,6.67,0.06,6.61,5.0,2.2,199.0,145.0,72.9,46.0,16.0,34.8,2.0,0.0,0,13.0,17.0,1.0,18.0,125.0,95.0,90.0
BK Opava,C. Brown Jr,13,C. Brown Jr,35,26.9,940.7,424.0,12.1,168.0,284.0,59.2,31.0,84.0,36.9,57.0,83.0,68.7,78.0,186.0,264.0,40.0,20.0,55.0,60.0,78.0,290.4,16.1,23.5,2.2,14.7,9,433.0,12.4,24.0,25,2.3,15,10,64.4,24.4,11,3.28,-1.34,4.62,5.0,3.0,164.0,119.0,72.6,36.0,18.0,50,84.0,31.0,36.9,13.0,33.0,0.0,14.0,97.0,77.0,75.0
NH Ostrava,L. Palyza,23,L. Palyza,35,22.1,775.2,390.0,11.1,121.0,278.0,43.5,63.0,158.0,39.9,85.0,104.0,81.7,17.0,78.0,95.0,53.0,31.0,4.0,27.0,78.0,320.4,21.6,26.2,3.6,6.4,10,400.0,11.4,26.9,25,1.8,25,12,41.3,33.3,14,1.57,0.05,1.52,2.6,2.4,41.0,26.0,63.4,78.0,32.0,41,158.0,63.0,39.9,13.0,8.0,0.0,6.0,49.0,96.0,64.0
ERA Basketball Nymburk,F. Rylich,73,F. Rylich,35,19.2,671.9,326.0,9.3,117.0,253.0,46.2,65.0,160.0,40.6,27.0,35.0,77.1,12.0,42.0,54.0,69.0,54.0,2.0,20.0,88.0,265.3,19.8,24.4,5.2,4.0,2,328.0,9.4,24.6,11,5.5,5,0,110.0,6.0,2,6.34,-1.7,8.04,1.9,3.4,73.0,49.0,67.1,20.0,3.0,15,160.0,65.0,40.6,9.0,8.0,0.0,3.0,29.0,106.0,97.0
BK ARMEX ENERGY Děčín,T. Pomikálek,5,T. Pomikálek,35,23.3,817.1,319.0,9.1,108.0,256.0,42.2,47.0,138.0,34.1,56.0,74.0,75.7,51.0,96.0,147.0,42.0,12.0,5.0,40.0,113.0,266.5,17.1,20.5,2.7,9.5,5,324.0,9.3,20.9,25,1.6,26,10,41.1,36.4,16,-2.21,-4.26,2.04,3.5,3.3,70.0,42.0,60,48.0,19.0,39.6,138.0,47.0,34.1,15.0,15.0,0.0,10.0,60.0,41.0,57.0
BK ARMEX ENERGY Děčín,M. Šturanović,47,M. Šturanović,35,16.3,570.1,238.0,6.8,90.0,156.0,57.7,2.0,9.0,22.2,56.0,85.0,65.9,58.0,91.0,149.0,36.0,19.0,25.0,44.0,101.0,172.2,15.9,22.0,3.3,13.8,11,249.0,7.1,23.0,17,1.4,14,5,52.5,17.2,12,-0.02,-4.7,4.69,4.8,2.7,99.0,61.0,61.6,48.0,27.0,56.2,9.0,2.0,22.2,13.0,19.0,2.0,10.0,65.0,32.0,45.0
SLUNETA  Ústí nad Labem,J. Potoček,31,J. Potoček,35,18.1,635.2,233.0,6.7,71.0,171.0,41.5,45.0,114.0,39.5,46.0,61.0,75.4,32.0,57.0,89.0,15.0,21.0,4.0,21.0,62.0,179.4,14.7,19.1,1.2,7.3,0,233.0,6.7,19.1,10,1.2,12,3,37.5,13.3,8,0.62,-2.12,2.74,3.1,4.0,30.0,16.0,53.3,27.0,10.0,37,114.0,45.0,39.5,11.0,8.0,0.0,2.0,46.0,69.0,44.0
BK KVIS Pardubice,K. Švrdlík,9,K. Švrdlík,35,15.6,546.4,196.0,5.6,67.0,126.0,53.2,2.0,13.0,15.4,60.0,93.0,64.5,72.0,93.0,165.0,19.0,21.0,21.0,17.0,100.0,107.4,10.2,18.5,1.8,15.6,0,196.0,5.6,18.5,0,0.0,3,0,0.0,3.0,2,1.41,-3.85,5.26,5.0,4.1,103.0,62.0,60.2,9.0,3.0,33.3,11.0,2.0,18.2,6.0,2.0,2.0,7.0,72.0,29.0,55.0
