Team,Lineup,Lineup_Key,Games,Clutch_Minutes,Clutch_Seconds,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS_ALLOWED,POSS,OFF_RTG,DEF_RTG,NET_RTG,PTS/MIN,DIFF
Yorkshire Dragons,"D. Ulph, J. Whelan, J. Melke, A. Lycoudis, C. Johnson","Yorkshire Dragons|10,23,5,7,9",2,4.7,279.0,3,1,5,20.0,0,4,0.0,1,2,50.0,0,0,0,1,0,0,2,0,12,7.6,39.7,114.9,-75.2,0.65,-9
London Cavaliers,"J. Manning, J. Richards, D. Delsol-Lowry, D. Braster, A. Roberts","London Cavaliers|10,11,21,23,4",1,4.7,279.0,11,4,7,57.1,3,4,75.0,0,0,0,0,0,0,3,0,0,2,0,4,8.6,127.3,31.0,96.3,2.37,7
Derby Trailblazers,"C. Washington, J. Pathmarajah, R. Marsden, C. Brown, M. Smith","Derby Trailblazers|13,22,30,4,9",1,4.7,281.0,11,4,6,66.7,0,1,0.0,3,5,60.0,0,0,0,3,0,0,1,0,8,8.8,124.5,95.1,29.4,2.35,3
Loughborough Riders,"M. Joiner, P. Karras, M. Gordon, J. Cook, L. Campbell","Loughborough Riders|11,15,22,31,4",1,4.6,277.0,11,4,6,66.7,2,3,66.7,1,1,100.0,0,0,0,1,0,0,2,0,10,8.1,135.8,95.7,40.0,2.38,1
London Cavaliers,"J. Manning, J. Richards, M. Collins, A. Roberts, A. Pyne","London Cavaliers|10,11,13,4,7",1,4.6,274.0,10,3,6,50.0,1,2,50.0,3,4,75.0,0,0,0,0,0,0,1,0,6,8.4,118.9,70.4,48.5,2.19,4
London Cavaliers,"J. Manning, M. Collins, M. Beasley, D. Braster, O. Pond-Mckenzie","London Cavaliers|10,13,15,23,5",1,4.5,267.0,6,3,9,33.3,0,3,0.0,0,0,0,0,0,0,1,0,0,0,0,9,8.6,69.4,100.6,-31.1,1.35,-3
Birmingham Rockets,"R. Blain, O. Jackman, Z. Powell, F. Mughaal, M. Gayle","Birmingham Rockets|0,13,14,7,8",1,4.5,273.0,16,7,9,77.8,1,3,33.3,1,3,33.3,0,0,0,3,0,0,3,0,9,12.8,125.1,72.8,52.3,3.52,7
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, A. Scarborough, B. Adeluola","Worthing Thunder|11,15,22,4,5",1,4.4,262.0,8,4,8,50.0,0,2,0.0,0,0,0,0,0,0,2,0,0,2,0,6,9.6,83.3,89.3,-6.0,1.83,2
Birmingham Rockets,"R. Blain, O. Jackman, E. Donaldson, L. Mcgregor, F. Mughaal","Birmingham Rockets|0,13,3,6,7",2,4.2,252.0,7,3,7,42.9,0,1,0.0,1,2,50.0,0,0,0,3,0,0,1,0,1,8.5,82.1,12.5,69.6,1.67,6
Reading Rockets,"M. Bryant, T. Nsangu, J. Bouknight, Y. Salih, E. Poorman","Reading Rockets|10,12,4,5,6",1,4.2,249.0,8,2,7,28.6,0,2,0.0,4,6,66.7,0,0,0,1,0,0,0,0,7,9.3,86.4,62.0,24.4,1.93,1
Worthing Thunder,"M. Bryan-Amaning, J. Hopkins, E. Maynard, J. Lashley, E. Dadds","Worthing Thunder|11,15,22,35,7",1,4.0,243.0,9,3,9,33.3,1,3,33.3,2,2,100.0,0,0,0,0,0,0,0,0,8,9.5,94.9,98.7,-3.8,2.22,1
Hemel Storm,"D. Nelson-Henry, K. Walker, M. Norman, B. Inger, S. Newman","Hemel Storm|10,11,2,3,4",1,3.9,231.0,11,4,8,50.0,1,2,50.0,2,4,50.0,0,0,0,0,0,0,1,0,10,10.3,106.5,99.0,7.5,2.86,1
Loughborough Riders,"J. Campbell, M. Joiner, J. Cook, T. Akinsuku, M. Gordon","Loughborough Riders|0,11,12,13,22",3,3.9,234.0,9,3,6,50.0,0,3,0.0,3,5,60.0,0,0,0,1,0,0,2,0,18,9.8,91.9,146.9,-55.0,2.31,-9
Birmingham Rockets,"R. Blain, Z. Powell, L. Okosieme, L. Mcgregor, M. Gayle","Birmingham Rockets|0,14,21,6,8",1,3.9,236.0,12,6,9,66.7,0,2,0.0,0,0,0,0,0,0,2,0,0,1,0,6,9.6,125.0,57.4,67.6,3.05,6
Essex Rebels,"M. Amako, K. Martin, M. Brown, A. Idiata-Mendez, T. Child","Essex Rebels|1,10,2,20,22",2,3.6,218.0,9,3,8,37.5,1,2,50.0,2,4,50.0,0,0,0,3,0,0,1,0,5,10.3,87.1,104.2,-17.0,2.48,4
Essex Rebels,"K. Martin, R. Udeh, M. Brown, T. Child, T. Hudson","Essex Rebels|10,14,2,22,9",4,3.5,213.0,16,6,10,60.0,2,2,100.0,2,2,100.0,0,0,0,4,0,0,0,0,5,10.4,153.2,55.2,98.0,4.51,11
Yorkshire Dragons,"R. Ani, D. Ulph, J. Whelan, J. Melke, C. Johnson","Yorkshire Dragons|1,10,23,5,9",1,3.5,210.0,4,1,6,16.7,0,3,0.0,2,3,66.7,0,0,0,0,0,0,2,0,4,8.9,44.7,69.4,-24.7,1.14,0
