Team Name,Play Type,Player,POSS,%TIME,%TIME RANK,PTS,PPP,PPP RANK,PPP RATING,FG ATT,FG MADE,FG MISS,FG%,EFG%,SSQ,PPS,SSM,TS%,TSA,TO%,%FT,FTA/FGA,%SF,SCORE%,2 FG ATT,2 FG MADE,2 FG MISS,2 FG%,3FG ATT,3 FG MADE,3 FG MISS,3 FG%,3PA/FGA
Sheffield Sharks,Isolation,#3Rodney Chatman,11,17.5%,6%,8,0.727,50%,Average,11,3,8,27.3%,27.3%,0.80,0.55,-0.25,33.7%,12,0.0%,18.2%,0.18,18.2%,27.3%,10,3,7,30.0%,1,0,1,0.0%,0.09
Sheffield Sharks,Isolation,#11Rodney Glasgow,11,17.5%,94%,0,0.000,0%,Poor,11,0,11,0.0%,0.0%,0.80,0.00,-0.80,0.0%,11,0.0%,0.0%,0.00,0.0%,0.0%,8,0,8,0.0%,3,0,3,0.0%,0.27
Sheffield Sharks,Isolation,#2Prentiss Nixon,7,11.1%,-,2,0.286,-,-,7,1,6,14.3%,14.3%,0.81,0.29,-0.52,14.3%,7,0.0%,0.0%,0.00,0.0%,14.3%,4,1,3,25.0%,3,0,3,0.0%,0.43
Sheffield Sharks,Isolation,#23Jalen Deloach,3,4.8%,-,3,1.000,-,-,1,1,0,100.0%,100.0%,0.84,2.00,+1.16,79.8%,2,33.3%,33.3%,2.00,33.3%,66.7%,1,1,0,100.0%,0,0,0,-,0.00
Sheffield Sharks,Isolation,#4William Lee,2,3.2%,-,0,0.000,-,-,2,0,2,0.0%,0.0%,0.88,0.00,-0.88,0.0%,2,0.0%,0.0%,0.00,0.0%,0.0%,1,0,1,0.0%,1,0,1,0.0%,0.50
Sheffield Sharks,Off Screen,#1Dirk Williams,21,40.4%,64%,29,1.381,82%,Very Good,19,11,8,57.9%,76.3%,0.94,1.53,+0.59,76.3%,19,9.5%,0.0%,0.00,0.0%,52.4%,9,4,5,44.4%,10,7,3,70.0%,0.53
Sheffield Sharks,Off Screen,#3Rodney Chatman,15,28.8%,45%,13,0.867,36%,Average,10,3,7,30.0%,30.0%,0.97,0.60,-0.37,48.1%,14,6.7%,26.7%,0.80,26.7%,46.7%,5,3,2,60.0%,5,0,5,0.0%,0.50
Sheffield Sharks,Off Screen,#2Prentiss Nixon,5,9.6%,-,6,1.200,-,-,5,3,2,60.0%,60.0%,0.88,1.20,+0.32,60.0%,5,0.0%,0.0%,0.00,0.0%,60.0%,4,3,1,75.0%,1,0,1,0.0%,0.20
Sheffield Sharks,Off Screen,#9Jordan Ratinho,4,7.7%,-,2,0.500,-,-,2,1,1,50.0%,50.0%,1.05,1.00,-0.05,50.0%,2,50.0%,0.0%,0.00,0.0%,25.0%,1,1,0,100.0%,1,0,1,0.0%,0.50
Sheffield Sharks,Off Screen,#11Rodney Glasgow,4,7.7%,-,6,1.500,-,-,3,2,1,66.7%,66.7%,0.85,1.33,+0.48,77.3%,4,0.0%,25.0%,0.67,0.0%,75.0%,2,2,0,100.0%,1,0,1,0.0%,0.33
Sheffield Sharks,Off Screen,#4William Lee,2,3.8%,-,3,1.500,-,-,2,1,1,50.0%,75.0%,0.91,1.50,+0.59,75.0%,2,0.0%,0.0%,0.00,0.0%,50.0%,1,0,1,0.0%,1,1,0,100.0%,0.50
Sheffield Sharks,Off Screen,#24Nick Kern,1,1.9%,-,0,0.000,-,-,1,0,1,0.0%,0.0%,0.65,0.00,-0.65,0.0%,1,0.0%,0.0%,0.00,0.0%,0.0%,1,0,1,0.0%,0,0,0,-,0.00
Sheffield Sharks,Offensive Rebounds (Put Backs),#4William Lee,11,24.4%,55%,10,0.909,15%,Below Average,7,4,3,57.1%,57.1%,1.20,1.14,-0.06,57.1%,9,18.2%,18.2%,0.57,18.2%,45.5%,7,4,3,57.1%,0,0,0,-,0.00
Sheffield Sharks,Offensive Rebounds (Put Backs),#15Mike Ochereobia,9,20.0%,-,12,1.333,-,-,9,6,3,66.7%,66.7%,1.21,1.33,+0.12,66.7%,9,0.0%,0.0%,0.00,0.0%,66.7%,9,6,3,66.7%,0,0,0,-,0.00
Sheffield Sharks,Offensive Rebounds (Put Backs),#23Jalen Deloach,8,17.8%,-,11,1.375,-,-,3,3,0,100.0%,100.0%,1.17,2.00,+0.83,84.4%,7,12.5%,50.0%,2.67,50.0%,75.0%,3,3,0,100.0%,0,0,0,-,0.00
Sheffield Sharks,Offensive Rebounds (Put Backs),#24Nick Kern,7,15.6%,-,8,1.143,-,-,6,4,2,66.7%,66.7%,1.14,1.33,+0.19,66.7%,6,14.3%,0.0%,0.00,0.0%,57.1%,6,4,2,66.7%,0,0,0,-,0.00
