Team,Lineup,Lineup_Key,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Umeå Basket,"Isac Åhnstrand, Adam Rask, William Christopher Dunston Jr, Glenn Stuart Morison, Isak Andersson","Umeå Basket|1,11,12,62,9",62,Glenn Stuart Morison,1,Isac Åhnstrand,3,9,3,0,2,1.5,4.5
Högsbo Basket,"Charles Barton, Isaiah Hill, Tony Vitali, Jesper Hallberg, Anes Zekovic","Högsbo Basket|0,1,22,5,6",0,Charles Barton,6,Anes Zekovic,3,9,3,0,2,1.5,4.5
Högsbo Basket,"Charles Barton, Isaiah Hill, Tony Vitali, Jesper Hallberg, Anes Zekovic","Högsbo Basket|0,1,22,5,6",0,Charles Barton,1,Isaiah Hill,3,9,3,0,3,1.0,3.0
BC Luleå,"Felix Broström, Robert Carpenter, Caleb McGill, Daniel Hansson, Gustav Hansson","BC Luleå|17,21,24,6,7",24,Caleb McGill,6,Daniel Hansson,3,9,3,0,2,1.5,4.5
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Adam Johansson, Michael Marsh","Jämtland Basket|0,22,25,3,5",3,Adam Johansson,22,Denzel George,4,9,1,3,3,1.33,3.0
Norrköping Dolphins,"Hugo Bergström, Ben Middlebrooks, Ryker Cisarik, Zach Harvey, Nathan Dawit","Norrköping Dolphins|21,34,5,88,94",21,Hugo Bergström,94,Nathan Dawit,3,9,3,0,1,3.0,9.0
Jämtland Basket,"Keaston Willis, André Jonsson Lorentsson, Michael Christmas, Adam Johansson, Samari Curtis","Jämtland Basket|0,13,25,3,41",41,Samari Curtis,25,Michael Christmas,3,9,3,0,3,1.0,3.0
Norrköping Dolphins,"Hugo Bergström, Sebastian Forsling, Ryker Cisarik, Zachary Harvey, Nathan Dawit","Norrköping Dolphins|21,25,5,88,94",21,Hugo Bergström,94,Nathan Dawit,3,9,3,0,2,1.5,4.5
Jämtland Basket,"Keaston Willis, Denzel George, Michael Christmas, Samari Curtis, Michael Marsh","Jämtland Basket|0,22,25,41,5",41,Samari Curtis,0,Keaston Willis,3,9,3,0,2,1.5,4.5
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Dartaye Ruffin, Anton Johansson","Nässjö Basket|1,11,2,21,4",2,Steven Strong Jr,11,Tyler Patterson,3,9,3,0,3,1.0,3.0
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Dallion Johnson, Sebastian Forsling, Zachary Harvey","Norrköping Dolphins|0,15,23,25,88",0,Tim Schüberg,23,Dallion Johnson,3,9,3,0,1,3.0,9.0
Nässjö Basket,"Mirko Djeric, Tyler Patterson, Steven Strong Jr, Dartaye Ruffin, Anton Johansson","Nässjö Basket|1,11,2,21,4",1,Mirko Djeric,2,Steven Strong Jr,3,9,3,0,2,1.5,4.5
Norrköping Dolphins,"Tim Schüberg, Dallion Johnson, Benjamin Middlebrooks, Ryker Cisarik, Nathan Dawit","Norrköping Dolphins|0,23,34,5,94",0,Tim Schüberg,94,Nathan Dawit,3,9,3,0,2,1.5,4.5
Norrköping Dolphins,"Tim Schüberg, Pierre Hampton, Dallion Johnson, Benjamin Middlebrooks, Nathan Dawit","Norrköping Dolphins|0,15,23,34,94",0,Tim Schüberg,23,Dallion Johnson,3,9,3,0,3,1.0,3.0
