Team,Assister_Num,Assister_Name,Scorer_Num,Scorer_Name,Assists,Points_Created,Threes_Assisted,Twos_Assisted,Games,AST/G,PTS_Created/G
Leicester Riders,1,Michael Mitchell Jr,3,Travis Evee,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,11,Totonitoluwa Fagbenle,40,Ethan Wright,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,24,Matthew Ragsdale,10,Ria'n Holland,1,3,1,0,1,1.0,3.0
Bristol Flyers,9,Jonathan Brown,40,Pasquale Landolfi,1,3,1,0,1,1.0,3.0
Surrey 89ers,11,Kareem Queeley,4,Andrew Lawrence,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,15,Mike Ochereobia,1,Dirk Williams,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,10,Ria'n Holland,11,Totonitoluwa Fagbenle,1,3,1,0,1,1.0,3.0
London Lions,1,Joel Scott,5,Mohammad Al-Amin Abdul Adamu,1,3,1,0,1,1.0,3.0
London Lions,31,Deane Williams,6,Morayo Soluade,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,15,Daylen Williams,11,Totonitoluwa Fagbenle,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,1,Dirk Williams,1,Dirk Williams,1,3,1,0,1,1.0,3.0
Leicester Riders,25,Victor Ndoukou,20,Spencer Johnson,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,14,Daniel Carr,11,Totonitoluwa Fagbenle,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,5,Frankie Policelli,23,Jaxon Brenchley,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,9,Damiri Lindo,3,Laquincy Rideau,1,3,1,0,1,1.0,3.0
Surrey 89ers,7,Ronald Polite Iii,11,Kareem Queeley,1,3,1,0,1,1.0,3.0
Leicester Riders,77,Flynn Boardman-Raffet,13,Donald Carey Jr,1,3,1,0,1,1.0,3.0
Manchester Basketball,3,Gabriel Osbuhein,1,Kyle Carey,1,3,1,0,1,1.0,3.0
London Lions,6,Morayo Soluade,22,Tarik Phillip,1,3,1,0,1,1.0,3.0
London Lions,3,Ciaran Sandy,6,Morayo Soluade,1,3,1,0,1,1.0,3.0
London Lions,10,Ethan Price,1,Joel Scott,1,3,1,0,1,1.0,3.0
London Lions,6,Morayo Soluade,2,Chasson Jermar Randle,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,1,Greg Wild,13,Patrick Robinson,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,5,Frankie Policelli,11,Tobias Cameron,1,3,1,0,1,1.0,3.0
Manchester Basketball,9,Kaiyem Cleary,1,Kyle Carey,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,15,Mike Ochereobia,4,William Lee,1,3,1,0,1,1.0,3.0
Bristol Flyers,7,Cameron Holden,25,Milos Dugalic,1,3,1,0,1,1.0,3.0
Leicester Riders,12,Aaron Menzies,13,Donald Carey Jr,1,3,1,0,1,1.0,3.0
London Lions,6,Morayo Soluade,21,Aaryndeep Rai,1,3,1,0,1,1.0,3.0
London Lions,5,Mohammad Al-Amin Abdul Adamu,55,Matthew Goodwin,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,14,Daniel Carr,10,Ria'n Holland,1,3,1,0,1,1.0,3.0
Bristol Flyers,40,Pasquale Landolfi,13,Owen Mccormack,1,3,1,0,1,1.0,3.0
Newcastle Eagles,15,Cole Long,9,Sauveur Kande,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,4,William Lee,11,Rodney Glasgow Jr,1,3,1,0,1,1.0,3.0
Manchester Basketball,0,Patrick Smith Jr,11,Jordan Johnson,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,10,Ria'n Holland,14,Daniel Carr,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,7,Fraser Malcolm,14,Daniel Carr,1,3,1,0,1,1.0,3.0
London Lions,2,Chasson Jermar Randle,3,Ciaran Sandy,1,3,1,0,1,1.0,3.0
London Lions,23,Kameron Mcgusty,2,Chasson Jermar Randle,1,3,1,0,1,1.0,3.0
London Lions,5,Mohammad Al-Amin Abdul Adamu,23,Kameron Mcgusty,1,3,1,0,1,1.0,3.0
London Lions,3,Ciaran Sandy,11,Ryan Mikesell,1,3,1,0,1,1.0,3.0
Bristol Flyers,25,Milos Dugalic,22,Joseph Anderson,1,3,1,0,1,1.0,3.0
Leicester Riders,2,Marc Loving,3,Travis Evee,1,3,1,0,1,1.0,3.0
Leicester Riders,2,Marc Loving,10,Olutomiwa Sulaiman,1,3,1,0,1,1.0,3.0
London Lions,1,Joel Scott,23,Kameron Mcgusty,1,3,1,0,1,1.0,3.0
London Lions,13,Jonathan Williams,55,Matthew Goodwin,1,3,1,0,1,1.0,3.0
London Lions,23,Kameron Mcgusty,11,Ryan Mikesell,1,3,1,0,1,1.0,3.0
Newcastle Eagles,21,Emmanuel Kanwei,3,Ray'sean Taylor,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,5,Frankie Policelli,3,Laquincy Rideau,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,24,Matthew Zona,9,Damiri Lindo,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,11,Tobias Cameron,1,Greg Wild,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,23,Jaxon Brenchley,1,Greg Wild,1,3,1,0,1,1.0,3.0
Newcastle Eagles,9,Sauveur Kande,14,Maceo Jack,1,3,1,0,1,1.0,3.0
Newcastle Eagles,14,Maceo Jack,9,Sauveur Kande,1,3,1,0,1,1.0,3.0
Bristol Flyers,4,Zachary Anderson,40,Pasquale Landolfi,1,3,1,0,1,1.0,3.0
Leicester Riders,41,Nathaniel Martin,3,Travis Evee,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,2,Michael Diggins,9,Damiri Lindo,1,3,1,0,1,1.0,3.0
London Lions,33,Shavar Reynolds Jr,11,Ryan Mikesell,1,3,1,0,1,1.0,3.0
London Lions,11,Ryan Mikesell,21,Aaryndeep Rai,1,3,1,0,1,1.0,3.0
London Lions,0,Ovie Soko,2,Chasson Jermar Randle,1,3,1,0,1,1.0,3.0
Manchester Basketball,1,Kyle Carey,22,Oluwaseyi Adetukasi,1,3,1,0,1,1.0,3.0
London Lions,33,Shavar Reynolds Jr,2,Chasson Jermar Randle,1,3,1,0,1,1.0,3.0
London Lions,11,Ryan Mikesell,2,Chasson Jermar Randle,1,3,1,0,1,1.0,3.0
Newcastle Eagles,21,Emmanuel Kanwei,1,Terrell Burden Jr,1,3,1,0,1,1.0,3.0
London Lions,21,Aaryndeep Rai,16,Karolis Lukosiunas,1,3,1,0,1,1.0,3.0
London Lions,2,Chasson Jermar Randle,55,Matthew Goodwin,1,3,1,0,1,1.0,3.0
London Lions,21,Aaryndeep Rai,55,Matthew Goodwin,1,3,1,0,1,1.0,3.0
London Lions,2,Chasson Jermar Randle,11,Ryan Mikesell,1,3,1,0,1,1.0,3.0
London Lions,21,Aaryndeep Rai,11,Ryan Mikesell,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,15,Malcolm Delpeche,24,Matthew Ragsdale,1,3,1,0,1,1.0,3.0
London Lions,13,Jonathan Williams,16,Karolis Lukosiunas,1,3,1,0,1,1.0,3.0
Surrey 89ers,17,Nedas Cholevinskas,15,Tayo Ogedengbe,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,22,Charles Jet Speelman,6,Kyle Jimenez,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,5,Frankie Policelli,24,Matthew Zona,1,3,1,0,1,1.0,3.0
Caledonia Gladiators,15,Malcolm Delpeche,6,Kyle Jimenez,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,5,Mervin James,9,Jordan Ratinho,1,3,1,0,1,1.0,3.0
Newcastle Eagles,8,Deion Hammond,41,Mitch Clarke,1,3,1,0,1,1.0,3.0
Surrey 89ers,55,Haydn Ling,17,Nedas Cholevinskas,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,5,Mervin James,2,Prentiss Nixon,1,3,1,0,1,1.0,3.0
Manchester Basketball,30,Duke Shelton,9,Kaiyem Cleary,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,5,Mervin James,4,William Lee,1,3,1,0,1,1.0,3.0
London Lions,55,Matthew Goodwin,16,Karolis Lukosiunas,1,3,1,0,1,1.0,3.0
London Lions,16,Karolis Lukosiunas,21,Aaryndeep Rai,1,3,1,0,1,1.0,3.0
London Lions,31,Deane Williams,55,Matthew Goodwin,1,3,1,0,1,1.0,3.0
Surrey 89ers,10,Tyrin Lawrence,17,Nedas Cholevinskas,1,3,1,0,1,1.0,3.0
Manchester Basketball,1,Kyle Carey,2,Max Jones,1,3,1,0,1,1.0,3.0
Leicester Riders,12,Aaron Menzies,10,Olutomiwa Sulaiman,1,3,1,0,1,1.0,3.0
Surrey 89ers,10,Tyrin Lawrence,15,Tayo Ogedengbe,1,3,1,0,1,1.0,3.0
Newcastle Eagles,14,Maceo Jack,13,Darius Defoe,1,3,1,0,1,1.0,3.0
Manchester Basketball,1,Kyle Carey,13,Kayne Henry,1,3,1,0,1,1.0,3.0
Manchester Basketball,30,Duke Shelton,1,Kyle Carey,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,5,Mervin James,3,Rodney Chatman Iii,1,3,1,0,1,1.0,3.0
London Lions,33,Shavar Reynolds Jr,15,Chaundee Brown Jr,1,3,1,0,1,1.0,3.0
London Lions,3,Ciaran Sandy,21,Aaryndeep Rai,1,3,1,0,1,1.0,3.0
Leicester Riders,77,Flynn Boardman-Raffet,2,Marc Loving,1,3,1,0,1,1.0,3.0
London Lions,16,Karolis Lukosiunas,15,Chaundee Brown Jr,1,3,1,0,1,1.0,3.0
London Lions,55,Matthew Goodwin,8,Nigel Hawkins,1,3,1,0,1,1.0,3.0
London Lions,33,Shavar Reynolds Jr,22,Tarik Phillip,1,3,1,0,1,1.0,3.0
London Lions,11,Ryan Mikesell,23,Kameron Mcgusty,1,3,1,0,1,1.0,3.0
London Lions,2,Chasson Jermar Randle,2,Chasson Jermar Randle,1,3,1,0,1,1.0,3.0
London Lions,22,Tarik Phillip,22,Tarik Phillip,1,3,1,0,1,1.0,3.0
London Lions,0,Ovie Soko,21,Aaryndeep Rai,1,3,1,0,1,1.0,3.0
London Lions,11,Ryan Mikesell,5,Mohammad Al-Amin Abdul Adamu,1,3,1,0,1,1.0,3.0
Newcastle Eagles,1,Terrell Burden,99,Gus Okafor,1,3,1,0,1,1.0,3.0
Bristol Flyers,21,Marcus Delpeche,7,Cameron Holden,1,3,1,0,1,1.0,3.0
London Lions,13,Johnathan Williams,31,Deane Williams,1,3,1,0,1,1.0,3.0
London Lions,31,Deane Williams,16,Karolis Lukosiunas,1,3,1,0,1,1.0,3.0
London Lions,2,Chasson Jermar Randle,16,Karolis Lukosiunas,1,3,1,0,1,1.0,3.0
Bristol Flyers,21,Marcus Delpeche,4,Zachary Anderson,1,3,1,0,1,1.0,3.0
Bristol Flyers,22,Joseph Anderson,22,Joseph Anderson,1,3,1,0,1,1.0,3.0
Cheshire Phoenix,24,Matthew Zona,3,Laquincy Rideau,1,3,1,0,1,1.0,3.0
B. Braun Sheffield Sharks,9,Jordan Ratinho,4,William Lee,1,2,0,1,1,1.0,2.0
Bristol Flyers,21,Marcus Delpeche,40,Pasquale Landolfi,1,2,0,1,1,1.0,2.0
Leicester Riders,1,Michael Mitchell Jr,9,Emmanuel Akot,1,2,0,1,1,1.0,2.0
Leicester Riders,25,Victor Ndoukou,2,Duke Shelton,1,2,0,1,1,1.0,2.0
Leicester Riders,1,Michael Mitchell Jr,2,Duke Shelton,1,2,0,1,1,1.0,2.0
Manchester Basketball,5,Cody John,22,Oluwaseyi Adetukasi,1,2,0,1,1,1.0,2.0
Manchester Basketball,7,Zak Irvin,22,Oluwaseyi Adetukasi,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,11,Totonitoluwa Fagbenle,22,Charles Jet Speelman,1,2,0,1,1,1.0,2.0
Newcastle Eagles,41,Mitch Clarke,45,Malcolm Smith,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,10,Rian Holland,0,Kevin Allen,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,10,Rian Holland,24,Matthew Ragsdale,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,40,Ethan Wright,15,Daylen Williams,1,2,0,1,1,1.0,2.0
Newcastle Eagles,2,Josh Ward-Hibbert,14,Maceo Jack,1,2,0,1,1,1.0,2.0
Newcastle Eagles,14,Maceo Jack,2,Josh Ward-Hibbert,1,2,0,1,1,1.0,2.0
Newcastle Eagles,25,Marco Anthony,15,Cole Long,1,2,0,1,1,1.0,2.0
Leicester Riders,10,Olutomiwa Sulaiman,41,Nathaniel Martin,1,2,0,1,1,1.0,2.0
Leicester Riders,77,Flynn Boardman-Raffet,2,Duke Shelton,1,2,0,1,1,1.0,2.0
London Lions,0,Ovie Soko,31,Deane Williams,1,2,0,1,1,1.0,2.0
Newcastle Eagles,2,Josh Ward-Hibbert,45,Malcolm Smith,1,2,0,1,1,1.0,2.0
Surrey 89ers,11,Kareem Queeley,17,Nedas Cholevinskas,1,2,0,1,1,1.0,2.0
Surrey 89ers,11,Kareem Queeley,21,Michael Graham,1,2,0,1,1,1.0,2.0
Manchester Basketball,5,Cody John,1,Kyle Carey,1,2,0,1,1,1.0,2.0
Manchester Basketball,9,Kaiyem Cleary,5,Cody John,1,2,0,1,1,1.0,2.0
Newcastle Eagles,24,Brett Reed,15,Cole Long,1,2,0,1,1,1.0,2.0
Newcastle Eagles,45,Malcolm Smith,21,Emmanuel Kanwei,1,2,0,1,1,1.0,2.0
Leicester Riders,3,Travis Evee,1,Michael Mitchell Jr,1,2,0,1,1,1.0,2.0
Leicester Riders,20,Spencer Johnson,2,Duke Shelton,1,2,0,1,1,1.0,2.0
Bristol Flyers,51,Darnell Brodie,51,Darnell Brodie,1,2,0,1,1,1.0,2.0
Surrey 89ers,15,Tayo Ogedengbe,1,Owen Koonce,1,2,0,1,1,1.0,2.0
Bristol Flyers,25,Milos Dugalic,51,Darnell Brodie,1,2,0,1,1,1.0,2.0
Manchester Basketball,7,Zak Irvin,9,Kaiyem Cleary,1,2,0,1,1,1.0,2.0
Manchester Basketball,5,Cody John,3,Gabriel Osbuhein,1,2,0,1,1,1.0,2.0
Leicester Riders,1,Michael Mitchell Jr,10,Olutomiwa Sulaiman,1,2,0,1,1,1.0,2.0
Leicester Riders,1,Michael Mitchell Jr,20,Spencer Johnson,1,2,0,1,1,1.0,2.0
Manchester Basketball,2,Max Jones,3,Gabriel Osbuhein,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,1,Dirk Williams,15,Mike Ochereobia,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,4,William Lee,24,Nick Kern Jr,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,9,Jordan Ratinho,15,Mike Ochereobia,1,2,0,1,1,1.0,2.0
London Lions,6,Morayo Soluade,31,Deane Williams,1,2,0,1,1,1.0,2.0
Newcastle Eagles,41,Mitch Clarke,24,Brett Reed,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,2,Prentiss Nixon,11,Rodney Glasgow Jr,1,2,0,1,1,1.0,2.0
Newcastle Eagles,14,Maceo Jack,45,Malcolm Smith,1,2,0,1,1,1.0,2.0
Leicester Riders,25,Victor Ndoukou,77,Flynn Boardman-Raffet,1,2,0,1,1,1.0,2.0
Leicester Riders,10,Olutomiwa Sulaiman,13,Donald Carey Jr,1,2,0,1,1,1.0,2.0
Leicester Riders,10,Olutomiwa Sulaiman,9,Emmanuel Akot,1,2,0,1,1,1.0,2.0
Newcastle Eagles,15,Cole Long,21,Emmanuel Kanwei,1,2,0,1,1,1.0,2.0
London Lions,1,Joel Scott,3,Ciaran Sandy,1,2,0,1,1,1.0,2.0
Leicester Riders,21,Raequan Battle,9,Emmanuel Akot,1,2,0,1,1,1.0,2.0
Leicester Riders,20,Spencer Johnson,77,Flynn Boardman-Raffet,1,2,0,1,1,1.0,2.0
Surrey 89ers,0,Isiah Small,15,Tayo Ogedengbe,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,0,Kevin Allen,11,Totonitoluwa Fagbenle,1,2,0,1,1,1.0,2.0
London Lions,10,Ethan Price,22,Tarik Phillip,1,2,0,1,1,1.0,2.0
London Lions,55,Matthew Goodwin,21,Aaryndeep Rai,1,2,0,1,1,1.0,2.0
London Lions,55,Matthew Goodwin,13,Jonathan Williams,1,2,0,1,1,1.0,2.0
Newcastle Eagles,99,Gus Okafor,25,Marco Anthony,1,2,0,1,1,1.0,2.0
Leicester Riders,21,Raequan Battle,12,Aaron Menzies,1,2,0,1,1,1.0,2.0
Leicester Riders,10,Olutomiwa Sulaiman,12,Aaron Menzies,1,2,0,1,1,1.0,2.0
Leicester Riders,20,Spencer Johnson,12,Aaron Menzies,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,11,Rodney Glasgow Jr,23,Jalen Deloach,1,2,0,1,1,1.0,2.0
Bristol Flyers,3,William Yoakum,25,Milos Dugalic,1,2,0,1,1,1.0,2.0
Manchester Basketball,7,Zak Irvin,13,Kayne Henry,1,2,0,1,1,1.0,2.0
Manchester Basketball,0,Patrick Smith Jr,13,Kayne Henry,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,10,Ria'n Holland,6,Kyle Jimenez,1,2,0,1,1,1.0,2.0
London Lions,10,Ethan Price,31,Deane Williams,1,2,0,1,1,1.0,2.0
London Lions,1,Joel Scott,31,Deane Williams,1,2,0,1,1,1.0,2.0
London Lions,31,Deane Williams,1,Joel Scott,1,2,0,1,1,1.0,2.0
London Lions,31,Deane Williams,5,Mohammad Al-Amin Abdul Adamu,1,2,0,1,1,1.0,2.0
London Lions,55,Matthew Goodwin,5,Mohammad Al-Amin Abdul Adamu,1,2,0,1,1,1.0,2.0
Bristol Flyers,21,Marcus Delpeche,9,Jonathan Brown,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,11,Totonitoluwa Fagbenle,7,Fraser Malcolm,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,40,Ethan Wright,33,Andrew Michael Gordon,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,4,William Lee,9,Jordan Ratinho,1,2,0,1,1,1.0,2.0
Surrey 89ers,12,Kino Lily Jr,12,Kino Lily Jr,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,6,Kyle Jimenez,38,Andrew Michael Gordon,1,2,0,1,1,1.0,2.0
Surrey 89ers,11,Kareem Queeley,19,Timothy Nwanko,1,2,0,1,1,1.0,2.0
Surrey 89ers,11,Kareem Queeley,7,Ronald Polite Iii,1,2,0,1,1,1.0,2.0
Surrey 89ers,7,Ronald Polite Iii,4,Andrew Lawrence,1,2,0,1,1,1.0,2.0
London Lions,1,Joel Scott,11,Ryan Mikesell,1,2,0,1,1,1.0,2.0
Cheshire Phoenix,99,Skyler White,9,Damiri Lindo,1,2,0,1,1,1.0,2.0
London Lions,21,Aaryndeep Rai,10,Ethan Price,1,2,0,1,1,1.0,2.0
London Lions,13,Jonathan Williams,31,Deane Williams,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,24,Matthew Ragsdale,38,Andrew Michael Gordon,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,24,Matthew Ragsdale,14,Daniel Carr,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,22,Charles Jet Speelman,7,Fraser Malcolm,1,2,0,1,1,1.0,2.0
Manchester Basketball,13,Kayne Henry,9,Kaiyem Cleary,1,2,0,1,1,1.0,2.0
Newcastle Eagles,9,Sauveur Kande,3,Ray'sean Taylor,1,2,0,1,1,1.0,2.0
London Lions,13,Jonathan Williams,5,Mohammad Al-Amin Abdul Adamu,1,2,0,1,1,1.0,2.0
Cheshire Phoenix,24,Matthew Zona,23,Jaxon Brenchley,1,2,0,1,1,1.0,2.0
Bristol Flyers,7,Cameron Holden,7,Cameron Holden,1,2,0,1,1,1.0,2.0
Cheshire Phoenix,1,Greg Wild,9,Damiri Lindo,1,2,0,1,1,1.0,2.0
Manchester Basketball,22,Oluwaseyi Adetukasi,11,Jordan Johnson,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,24,Matthew Ragsdale,15,Malcolm Delpeche,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,6,Kyle Jimenez,5,Dwaine Jones Jr,1,2,0,1,1,1.0,2.0
Bristol Flyers,9,Jonathan Brown,51,Darnell Brodie,1,2,0,1,1,1.0,2.0
Manchester Basketball,34,Matthew Nicholson,7,Zak Irvin,1,2,0,1,1,1.0,2.0
Manchester Basketball,7,Zak Irvin,34,Matthew Nicholson,1,2,0,1,1,1.0,2.0
Leicester Riders,2,Marc Loving,41,Nathaniel Martin,1,2,0,1,1,1.0,2.0
Newcastle Eagles,1,Terrell Burden Jr,13,Darius Defoe,1,2,0,1,1,1.0,2.0
Surrey 89ers,19,Timothy Nwanko,7,Ronald Polite Iii,1,2,0,1,1,1.0,2.0
Surrey 89ers,17,Nedas Cholevinskas,55,Haydn Ling,1,2,0,1,1,1.0,2.0
Surrey 89ers,1,Owen Koonce,55,Haydn Ling,1,2,0,1,1,1.0,2.0
Surrey 89ers,17,Nedas Cholevinskas,7,Ronald Polite Iii,1,2,0,1,1,1.0,2.0
Manchester Basketball,1,Kyle Carey,3,Gabriel Osbuhein,1,2,0,1,1,1.0,2.0
Manchester Basketball,3,Gabriel Osbuhein,34,Matthew Nicholson,1,2,0,1,1,1.0,2.0
London Lions,2,Chasson Jermar Randle,5,Mohammad Al-Amin Abdul Adamu,1,2,0,1,1,1.0,2.0
London Lions,13,Jonathan Williams,2,Chasson Jermar Randle,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,7,Fraser Malcolm,56,Lloyd Alvin Bryan Jr,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,5,Dwaine Jones Jr,7,Fraser Malcolm,1,2,0,1,1,1.0,2.0
Bristol Flyers,21,Marcus Delpeche,13,Owen Mccormack,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,15,Malcolm Delpeche,11,Totonitoluwa Fagbenle,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,7,Fraser Malcolm,5,Dwaine Jones Jr,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,11,Totonitoluwa Fagbenle,15,Malcolm Delpeche,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,5,Dwaine Jones Jr,11,Totonitoluwa Fagbenle,1,2,0,1,1,1.0,2.0
Cheshire Phoenix,9,Damiri Lindo,13,Patrick Robinson,1,2,0,1,1,1.0,2.0
Manchester Basketball,33,Judson Martindale,0,Patrick Smith Jr,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,24,Matthew Ragsdale,56,Lloyd Alvin Bryan Jr,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,5,Mervin James,5,Mervin James,1,2,0,1,1,1.0,2.0
Leicester Riders,12,Aaron Menzies,77,Flynn Boardman-Raffet,1,2,0,1,1,1.0,2.0
Leicester Riders,20,Spencer Johnson,20,Spencer Johnson,1,2,0,1,1,1.0,2.0
Surrey 89ers,4,Andrew Lawrence,19,Timothy Nwanko,1,2,0,1,1,1.0,2.0
Surrey 89ers,1,Owen Koonce,17,Nedas Cholevinskas,1,2,0,1,1,1.0,2.0
Newcastle Eagles,1,Terrell Burden Jr,41,Mitch Clarke,1,2,0,1,1,1.0,2.0
Surrey 89ers,21,Michael Graham,15,Tayo Ogedengbe,1,2,0,1,1,1.0,2.0
Newcastle Eagles,99,Gus Okafor,21,Emmanuel Kanwei,1,2,0,1,1,1.0,2.0
Surrey 89ers,21,Michael Graham,33,Tyrin Lawrence,1,2,0,1,1,1.0,2.0
Manchester Basketball,9,Kaiyem Cleary,2,Max Jones,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,2,Prentiss Nixon,6,Reyad West,1,2,0,1,1,1.0,2.0
London Lions,16,Karolis Lukosiunas,13,Johnathan Williams,1,2,0,1,1,1.0,2.0
London Lions,13,Johnathan Williams,2,Chasson Jermar Randle,1,2,0,1,1,1.0,2.0
London Lions,10,Ethan Price,3,Ciaran Sandy,1,2,0,1,1,1.0,2.0
Newcastle Eagles,41,Mitch Clarke,9,Sauveur Kande,1,2,0,1,1,1.0,2.0
Surrey 89ers,0,Isiah Small,10,Tyrin Lawrence,1,2,0,1,1,1.0,2.0
Bristol Flyers,13,Owen Mccormack,9,Jonathan Brown,1,2,0,1,1,1.0,2.0
Manchester Basketball,22,Oluwaseyi Adetukasi,7,Zak Irvin,1,2,0,1,1,1.0,2.0
Manchester Basketball,11,Jordan Johnson,11,Jordan Johnson,1,2,0,1,1,1.0,2.0
Manchester Basketball,22,Oluwaseyi Adetukasi,0,Patrick Smith Jr,1,2,0,1,1,1.0,2.0
Surrey 89ers,33,Tyrin Lawrence,55,Haydn Ling,1,2,0,1,1,1.0,2.0
Surrey 89ers,15,Tayo Ogedengbe,33,Tyrin Lawrence,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,56,Lloyd Alvin Bryan Jr,10,Ria'n Holland,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,56,Lloyd Alvin Bryan Jr,40,Ethan Wright,1,2,0,1,1,1.0,2.0
Surrey 89ers,17,Nedas Cholevinskas,33,Tyrin Lawrence,1,2,0,1,1,1.0,2.0
Caledonia Gladiators,5,Dwaine Jones Jr,40,Ethan Wright,1,2,0,1,1,1.0,2.0
Surrey 89ers,10,Tyrin Lawrence,19,Timothy Nwanko,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,4,William Lee,5,Mervin James,1,2,0,1,1,1.0,2.0
Bristol Flyers,22,Joseph Anderson,77,Evan Walshe,1,2,0,1,1,1.0,2.0
Bristol Flyers,77,Evan Walshe,21,Marcus Delpeche,1,2,0,1,1,1.0,2.0
Bristol Flyers,4,Zachary Anderson,77,Evan Walshe,1,2,0,1,1,1.0,2.0
Bristol Flyers,77,Evan Walshe,13,Owen Mccormack,1,2,0,1,1,1.0,2.0
Leicester Riders,41,Nathaniel Martin,13,Donald Carey Jr,1,2,0,1,1,1.0,2.0
Newcastle Eagles,15,Cole Long,13,Darius Defoe,1,2,0,1,1,1.0,2.0
London Lions,3,Ciaran Sandy,5,Mohammad Al-Amin Abdul Adamu,1,2,0,1,1,1.0,2.0
London Lions,3,Ciaran Sandy,15,Chaundee Brown Jr,1,2,0,1,1,1.0,2.0
B. Braun Sheffield Sharks,11,Rodney Glasgow Jr,5,Mervin James,1,2,0,1,1,1.0,2.0
London Lions,31,Deane Williams,15,Chaundee Brown Jr,1,2,0,1,1,1.0,2.0
Surrey 89ers,0,Isiah Small,19,Timothy Nwanko,1,2,0,1,1,1.0,2.0
Surrey 89ers,17,Nedas Cholevinskas,0,Isiah Small,1,2,0,1,1,1.0,2.0
Surrey 89ers,21,Michael Graham,17,Nedas Cholevinskas,1,2,0,1,1,1.0,2.0
Surrey 89ers,12,Kino Lily Jr,19,Timothy Nwankwo,1,2,0,1,1,1.0,2.0
Surrey 89ers,15,Tayo Ogedengbe,12,Kino Lily Jr,1,2,0,1,1,1.0,2.0
London Lions,8,Nigel Hawkins,5,Mohammad Al-Amin Abdul Adamu,1,2,0,1,1,1.0,2.0
London Lions,16,Karolis Lukosiunas,33,Shavar Reynolds Jr,1,2,0,1,1,1.0,2.0
London Lions,33,Shavar Reynolds Jr,3,Ciaran Sandy,1,2,0,1,1,1.0,2.0
London Lions,55,Matthew Goodwin,31,Deane Williams,1,2,0,1,1,1.0,2.0
Newcastle Eagles,41,Mitch Clarke,99,Gus Okafor,1,2,0,1,1,1.0,2.0
